"Year","Quarter","Expenditure"
1950,1,884
1950,2,971
1950,3,1093
1950,4,1146
1951,1,917
1951,2,973
1951,3,1111
1951,4,1158
1952,1,898
1952,2,957
1952,3,1052
1952,4,1136
1953,1,931
1953,2,998
1953,3,1115
1953,4,1171
1954,1,972
1954,2,977
1954,3,1128
1954,4,1230
1955,1,1030
1955,2,1071
1955,3,1196
1955,4,1243
1956,1,1051
1956,2,1098
1956,3,1184
1956,4,1199
1957,1,1011
1957,2,1052
1957,3,1192
1957,4,1269
1958,1,1041
1958,2,1085
1958,3,1195
1958,4,1252
1959,1,1015
1959,2,1095
1959,3,1222
1959,4,1293
1960,1,1102
1960,2,1139
1960,3,1277
1960,4,1336
1961,1,1091
1961,2,1155
1961,3,1244
1961,4,1341
1962,1,1139
1962,2,1175
1962,3,1319
1962,4,1405
1963,1,1189
1963,2,1259
1963,3,1372
1963,4,1472
1964,1,1321
1964,2,1358
1964,3,1445
1964,4,1514
1965,1,1282
1965,2,1306
1965,3,1408
1965,4,1460
1966,1,1277
1966,2,1330
1966,3,1433
1966,4,1529
1967,1,1319
1967,2,1399
1967,3,1577
1967,4,1673
1968,1,1446
1968,2,1487
1968,3,1558
1968,4,1651
1969,1,1426
1969,2,1502
1969,3,1630
1969,4,1728
1970,1,1511
1970,2,1560
1970,3,1700
1970,4,1752
1971,1,1496
1971,2,1586
1971,3,1711
1971,4,1774
1972,1,1587
1972,2,1668
1972,3,1779
1972,4,1840
1973,1,1598
1973,2,1681
1973,3,1738
1973,4,1820
1974,1,1627
1974,2,1686
1974,3,1814
1974,4,1937
1975,1,1719
1975,2,1727
1975,3,1822
1975,4,1891
1976,1,1697
1976,2,1729
1976,3,1834
1976,4,1940
1977,1,1736
1977,2,1764
1977,3,1874
1977,4,1977
1978,1,1791
1978,2,1819
1978,3,1935
1978,4,2033
1979,1,1815
1979,2,1847
1979,3,1982
1979,4,2053
1980,1,1873
1980,2,1956
1980,3,2009
1980,4,2136
1981,1,1933
1981,2,2024
1981,3,2118
1981,4,2232
1982,1,2004
1982,2,2044
1982,3,2167
1982,4,2218
1983,1,2045
1983,2,2036
1983,3,2116
1983,4,2249
1984,1,2040
1984,2,2029
1984,3,2137
1984,4,2203
1985,1,2015
1985,2,2063
1985,3,2155
1985,4,2284
1986,1,2089
1986,2,2152
1986,3,2294
1986,4,2375
1987,1,2192
1987,2,2200
1987,3,2331
1987,4,2431
1988,1,2207
1988,2,2258
1988,3,2347
1988,4,2471
1989,1,2248
1989,2,2323
1989,3,2452
1989,4,2565
1990,1,2373
1990,2,2423
1990,3,2525
1990,4,2591
1991,1,2444
1991,2,2462
1991,3,2580
1991,4,2679
1992,1,2465
1992,2,2552
1992,3,2661
1992,4,2724
1993,1,2583
1993,2,2656
1993,3,2749
1993,4,2844
1994,1,2624
1994,2,2651
1994,3,2792
1994,4,2914
1995,1,2703
1995,2,2813
1995,3,2918
1995,4,2961
1996,1,2707
1996,2,2786
1996,3,2903
1996,4,3004
1997,1,2795
1997,2,2854
1997,3,2988
1997,4,3080
1998,1,2875
1998,2,2955
1998,3,3033
1998,4,3145
1999,1,2940
1999,2,2975
1999,3,3089
1999,4,3185
2000,1,3009
2000,2,3092
2000,3,3209
2000,4,3260
2001,1,3086
2001,2,3151
2001,3,3265
2001,4,3360
2002,1,3145
2002,2,3187
2002,3,3328
2002,4,3405
2003,1,3259
2003,2,3307
2003,3,3439
2003,4,3537
2004,1,3361
2004,2,3408
2004,3,3502
2004,4,3613
2005,1,3422
2005,2,3468
2005,3,3606
2005,4,3710
2006,1,3486
2006,2,3555
2006,3,3700
2006,4,3766
2007,1,3615
2007,2,3676
2007,3,3786
2007,4,3880
2008,1,3685
2008,2,3761
2008,3,3877
2008,4,4011
2009,1,3791
2009,2,3849
2009,3,3973
2009,4,4045
2010,1,3844
2010,2,3950
2010,3,4053
2010,4,4171
2011,1,3956
2011,2,4065
2011,3,4233
2011,4,4314
2012,1,4120
2012,2,4216
2012,3,4356
2012,4,4430
2013,1,4247
2013,2,4304
2013,3,4421
2013,4,4503
2014,1,4349
2014,2,4372
2014,3,4459
2014,4,4524
2015,1,4334
2015,2,4409
2015,3,4559
2015,4,4676
2016,1,4478
2016,2,4534
2016,3,4651
2016,4,4728
2017,1,4526
2017,2,4637
2017,3,4735
2017,4,4840
2018,1,4665
2018,2,4762
2018,3,4891
2018,4,5023
2019,1,4810
2019,2,4894
2019,3,5029
2019,4,5146
2020,1,4970
2020,2,5034
2020,3,5133
2020,4,5219
