"Year","Quarter","Expenditure"
1950,1,851
1950,2,820
1950,3,896
1950,4,817
1951,1,840
1951,2,897
1951,3,914
1951,4,850
1952,1,875
1952,2,925
1952,3,936
1952,4,879
1953,1,874
1953,2,883
1953,3,955
1953,4,964
1954,1,962
1954,2,910
1954,3,951
1954,4,937
1955,1,915
1955,2,875
1955,3,934
1955,4,922
1956,1,896
1956,2,919
1956,3,949
1956,4,884
1957,1,934
1957,2,918
1957,3,1004
1957,4,1017
1958,1,1012
1958,2,964
1958,3,1010
1958,4,957
1959,1,961
1959,2,923
1959,3,989
1959,4,982
1960,1,1019
1960,2,1016
1960,3,1032
1960,4,999
1961,1,1050
1961,2,1010
1961,3,1037
1961,4,978
1962,1,1028
1962,2,977
1962,3,1013
1962,4,979
1963,1,1027
1963,2,1042
1963,3,1099
1963,4,1054
1964,1,1034
1964,2,1048
1964,3,1155
1964,4,1079
1965,1,1071
1965,2,1061
1965,3,1082
1965,4,1106
1966,1,1045
1966,2,1053
1966,3,1112
1966,4,1083
1967,1,1045
1967,2,1038
1967,3,1120
1967,4,1088
1968,1,1083
1968,2,998
1968,3,1080
1968,4,1158
1969,1,1094
1969,2,1041
1969,3,1104
1969,4,1064
1970,1,1093
1970,2,1056
1970,3,1075
1970,4,1054
1971,1,1083
1971,2,1090
1971,3,1130
1971,4,1077
1972,1,1063
1972,2,1066
1972,3,1112
1972,4,1094
1973,1,1086
1973,2,1104
1973,3,1157
1973,4,1124
1974,1,1096
1974,2,1085
1974,3,1144
1974,4,1171
1975,1,1122
1975,2,1073
1975,3,1165
1975,4,1151
1976,1,1146
1976,2,1088
1976,3,1178
1976,4,1162
1977,1,1156
1977,2,1149
1977,3,1155
1977,4,1120
1978,1,1094
1978,2,1106
1978,3,1230
1978,4,1180
1979,1,1127
1979,2,1120
1979,3,1186
1979,4,1104
1980,1,1122
1980,2,1128
1980,3,1164
1980,4,1179
1981,1,1163
1981,2,1089
1981,3,1186
1981,4,1144
1982,1,1148
1982,2,1147
1982,3,1211
1982,4,1159
1983,1,1191
1983,2,1186
1983,3,1225
1983,4,1155
1984,1,1176
1984,2,1134
1984,3,1214
1984,4,1229
1985,1,1214
1985,2,1155
1985,3,1234
1985,4,1175
1986,1,1184
1986,2,1188
1986,3,1287
1986,4,1216
1987,1,1193
1987,2,1188
1987,3,1279
1987,4,1292
1988,1,1261
1988,2,1233
1988,3,1332
1988,4,1268
1989,1,1241
1989,2,1201
1989,3,1270
1989,4,1214
1990,1,1208
1990,2,1218
1990,3,1251
1990,4,1232
1991,1,1228
1991,2,1245
1991,3,1316
1991,4,1292
1992,1,1305
1992,2,1217
1992,3,1312
1992,4,1226
1993,1,1209
1993,2,1203
1993,3,1285
1993,4,1311
1994,1,1290
1994,2,1245
1994,3,1266
1994,4,1191
1995,1,1235
1995,2,1240
1995,3,1300
1995,4,1257
1996,1,1272
1996,2,1238
1996,3,1251
1996,4,1253
1997,1,1288
1997,2,1267
1997,3,1331
1997,4,1280
1998,1,1245
1998,2,1294
1998,3,1346
1998,4,1318
1999,1,1279
1999,2,1313
1999,3,1347
1999,4,1335
2000,1,1351
2000,2,1278
2000,3,1389
2000,4,1277
2001,1,1279
2001,2,1265
2001,3,1315
2001,4,1235
2002,1,1308
2002,2,1248
2002,3,1320
2002,4,1316
2003,1,1321
2003,2,1275
2003,3,1341
2003,4,1277
2004,1,1264
2004,2,1231
2004,3,1318
2004,4,1300
2005,1,1282
2005,2,1324
2005,3,1430
2005,4,1370
2006,1,1331
2006,2,1340
2006,3,1395
2006,4,1366
2007,1,1319
2007,2,1251
2007,3,1319
2007,4,1307
2008,1,1334
2008,2,1329
2008,3,1337
2008,4,1313
2009,1,1327
2009,2,1307
2009,3,1366
2009,4,1364
2010,1,1350
2010,2,1284
2010,3,1378
2010,4,1358
2011,1,1381
2011,2,1349
2011,3,1412
2011,4,1362
2012,1,1310
2012,2,1292
2012,3,1317
2012,4,1309
2013,1,1347
2013,2,1270
2013,3,1384
2013,4,1337
2014,1,1356
2014,2,1319
2014,3,1351
2014,4,1294
2015,1,1267
2015,2,1274
2015,3,1358
2015,4,1289
2016,1,1361
2016,2,1303
2016,3,1381
2016,4,1320
2017,1,1348
2017,2,1315
2017,3,1371
2017,4,1311
2018,1,1355
2018,2,1318
2018,3,1421
2018,4,1374
2019,1,1356
2019,2,1400
2019,3,1425
2019,4,1386
2020,1,1364
2020,2,1351
2020,3,1421
2020,4,1391
