"Year","Quarter","Expenditure"
1950,1,727
1950,2,732
1950,3,717
1950,4,723
1951,1,721
1951,2,751
1951,3,700
1951,4,721
1952,1,688
1952,2,698
1952,3,671
1952,4,677
1953,1,675
1953,2,710
1953,3,735
1953,4,734
1954,1,698
1954,2,745
1954,3,757
1954,4,723
1955,1,706
1955,2,715
1955,3,730
1955,4,722
1956,1,726
1956,2,723
1956,3,775
1956,4,753
1957,1,759
1957,2,789
1957,3,824
1957,4,789
1958,1,779
1958,2,808
1958,3,811
1958,4,799
1959,1,793
1959,2,840
1959,3,853
1959,4,829
1960,1,804
1960,2,811
1960,3,819
1960,4,818
1961,1,789
1961,2,796
1961,3,822
1961,4,810
1962,1,812
1962,2,862
1962,3,839
1962,4,846
1963,1,832
1963,2,801
1963,3,883
1963,4,841
1964,1,819
1964,2,837
1964,3,829
1964,4,817
1965,1,845
1965,2,883
1965,3,887
1965,4,873
1966,1,880
1966,2,827
1966,3,845
1966,4,850
1967,1,789
1967,2,840
1967,3,872
1967,4,906
1968,1,852
1968,2,887
1968,3,895
1968,4,845
1969,1,805
1969,2,848
1969,3,874
1969,4,925
1970,1,933
1970,2,942
1970,3,953
1970,4,870
1971,1,834
1971,2,889
1971,3,887
1971,4,839
1972,1,839
1972,2,829
1972,3,896
1972,4,903
1973,1,896
1973,2,862
1973,3,878
1973,4,945
1974,1,926
1974,2,938
1974,3,922
1974,4,938
1975,1,927
1975,2,925
1975,3,936
1975,4,921
1976,1,926
1976,2,923
1976,3,949
1976,4,934
1977,1,927
1977,2,980
1977,3,989
1977,4,1005
1978,1,967
1978,2,959
1978,3,918
1978,4,913
1979,1,861
1979,2,905
1979,3,942
1979,4,977
1980,1,997
1980,2,979
1980,3,1011
1980,4,980
1981,1,949
1981,2,965
1981,3,1006
1981,4,993
1982,1,941
1982,2,990
1982,3,1023
1982,4,991
1983,1,955
1983,2,974
1983,3,941
1983,4,976
1984,1,941
1984,2,940
1984,3,971
1984,4,993
1985,1,959
1985,2,964
1985,3,966
1985,4,994
1986,1,966
1986,2,984
1986,3,984
1986,4,967
1987,1,918
1987,2,975
1987,3,1019
1987,4,1039
1988,1,1032
1988,2,1007
1988,3,1037
1988,4,1053
1989,1,1052
1989,2,1037
1989,3,1084
1989,4,1049
1990,1,1021
1990,2,1002
1990,3,1040
1990,4,1046
1991,1,1062
1991,2,1068
1991,3,1085
1991,4,1099
1992,1,1064
1992,2,1029
1992,3,1045
1992,4,1066
1993,1,1063
1993,2,1076
1993,3,1085
1993,4,1093
1994,1,1082
1994,2,1072
1994,3,1070
1994,4,1086
1995,1,1035
1995,2,1071
1995,3,1093
1995,4,1041
1996,1,1024
1996,2,1075
1996,3,1042
1996,4,1042
1997,1,1024
1997,2,1011
1997,3,1060
1997,4,1092
1998,1,1100
1998,2,1097
1998,3,1084
1998,4,1076
1999,1,1104
1999,2,1098
1999,3,1117
1999,4,1076
2000,1,1070
2000,2,1053
2000,3,1125
2000,4,1068
2001,1,1069
2001,2,1085
2001,3,1095
2001,4,1092
2002,1,1094
2002,2,1137
2002,3,1159
2002,4,1134
2003,1,1108
2003,2,1118
2003,3,1124
2003,4,1138
2004,1,1129
2004,2,1128
2004,3,1126
2004,4,1128
2005,1,1111
2005,2,1163
2005,3,1227
2005,4,1113
2006,1,1095
2006,2,1116
2006,3,1165
2006,4,1193
2007,1,1142
2007,2,1153
2007,3,1171
2007,4,1159
2008,1,1135
2008,2,1167
2008,3,1184
2008,4,1155
2009,1,1165
2009,2,1153
2009,3,1155
2009,4,1205
2010,1,1190
2010,2,1173
2010,3,1194
2010,4,1191
2011,1,1153
2011,2,1190
2011,3,1175
2011,4,1197
2012,1,1152
2012,2,1128
2012,3,1135
2012,4,1148
2013,1,1120
2013,2,1167
2013,3,1213
2013,4,1233
2014,1,1179
2014,2,1208
2014,3,1221
2014,4,1245
2015,1,1158
2015,2,1208
2015,3,1193
2015,4,1235
2016,1,1203
2016,2,1189
2016,3,1192
2016,4,1197
2017,1,1164
2017,2,1211
2017,3,1191
2017,4,1159
2018,1,1144
2018,2,1189
2018,3,1214
2018,4,1211
2019,1,1192
2019,2,1195
2019,3,1209
2019,4,1226
2020,1,1215
2020,2,1227
2020,3,1241
2020,4,1254
