"Year","Quarter","Expenditure"
1950,1,1063
1950,2,1080
1950,3,1120
1950,4,1056
1951,1,989
1951,2,999
1951,3,1032
1951,4,1034
1952,1,1067
1952,2,1038
1952,3,1104
1952,4,1037
1953,1,1069
1953,2,1098
1953,3,1120
1953,4,1048
1954,1,1156
1954,2,1048
1954,3,1152
1954,4,1117
1955,1,1092
1955,2,1119
1955,3,1129
1955,4,1019
1956,1,1114
1956,2,1149
1956,3,1202
1956,4,1100
1957,1,1100
1957,2,1109
1957,3,1126
1957,4,1059
1958,1,1072
1958,2,1092
1958,3,1154
1958,4,1085
1959,1,1148
1959,2,1125
1959,3,1126
1959,4,1164
1960,1,1191
1960,2,1187
1960,3,1233
1960,4,1183
1961,1,1124
1961,2,1174
1961,3,1169
1961,4,1080
1962,1,1200
1962,2,1132
1962,3,1191
1962,4,1175
1963,1,1184
1963,2,1170
1963,3,1198
1963,4,1083
1964,1,1167
1964,2,1228
1964,3,1221
1964,4,1174
1965,1,1243
1965,2,1155
1965,3,1254
1965,4,1191
1966,1,1241
1966,2,1170
1966,3,1217
1966,4,1164
1967,1,1310
1967,2,1294
1967,3,1220
1967,4,1212
1968,1,1202
1968,2,1276
1968,3,1252
1968,4,1238
1969,1,1224
1969,2,1246
1969,3,1316
1969,4,1227
1970,1,1216
1970,2,1199
1970,3,1323
1970,4,1325
1971,1,1254
1971,2,1247
1971,3,1248
1971,4,1275
1972,1,1238
1972,2,1196
1972,3,1239
1972,4,1205
1973,1,1289
1973,2,1308
1973,3,1296
1973,4,1207
1974,1,1247
1974,2,1297
1974,3,1325
1974,4,1281
1975,1,1280
1975,2,1284
1975,3,1266
1975,4,1282
1976,1,1219
1976,2,1223
1976,3,1368
1976,4,1264
1977,1,1310
1977,2,1300
1977,3,1358
1977,4,1282
1978,1,1291
1978,2,1338
1978,3,1403
1978,4,1286
1979,1,1278
1979,2,1316
1979,3,1385
1979,4,1264
1980,1,1245
1980,2,1297
1980,3,1360
1980,4,1276
1981,1,1318
1981,2,1364
1981,3,1330
1981,4,1251
1982,1,1348
1982,2,1400
1982,3,1413
1982,4,1321
1983,1,1369
1983,2,1388
1983,3,1435
1983,4,1269
1984,1,1425
1984,2,1384
1984,3,1389
1984,4,1309
1985,1,1361
1985,2,1345
1985,3,1474
1985,4,1353
1986,1,1339
1986,2,1442
1986,3,1385
1986,4,1425
1987,1,1440
1987,2,1357
1987,3,1436
1987,4,1353
1988,1,1357
1988,2,1381
1988,3,1417
1988,4,1360
1989,1,1448
1989,2,1447
1989,3,1438
1989,4,1480
1990,1,1513
1990,2,1425
1990,3,1439
1990,4,1342
1991,1,1427
1991,2,1438
1991,3,1457
1991,4,1439
1992,1,1355
1992,2,1322
1992,3,1419
1992,4,1420
1993,1,1410
1993,2,1482
1993,3,1505
1993,4,1500
1994,1,1484
1994,2,1528
1994,3,1499
1994,4,1418
1995,1,1395
1995,2,1413
1995,3,1450
1995,4,1412
1996,1,1465
1996,2,1552
1996,3,1552
1996,4,1466
1997,1,1491
1997,2,1526
1997,3,1505
1997,4,1470
1998,1,1496
1998,2,1535
1998,3,1474
1998,4,1478
1999,1,1468
1999,2,1502
1999,3,1528
1999,4,1415
2000,1,1454
2000,2,1456
2000,3,1540
2000,4,1445
2001,1,1478
2001,2,1428
2001,3,1467
2001,4,1425
2002,1,1471
2002,2,1535
2002,3,1572
2002,4,1454
2003,1,1459
2003,2,1445
2003,3,1503
2003,4,1395
2004,1,1461
2004,2,1448
2004,3,1526
2004,4,1458
2005,1,1467
2005,2,1480
2005,3,1521
2005,4,1474
2006,1,1512
2006,2,1472
2006,3,1533
2006,4,1451
2007,1,1552
2007,2,1537
2007,3,1504
2007,4,1493
2008,1,1556
2008,2,1534
2008,3,1503
2008,4,1432
2009,1,1523
2009,2,1523
2009,3,1536
2009,4,1520
2010,1,1580
2010,2,1650
2010,3,1619
2010,4,1554
2011,1,1627
2011,2,1612
2011,3,1544
2011,4,1435
2012,1,1559
2012,2,1549
2012,3,1539
2012,4,1516
2013,1,1526
2013,2,1562
2013,3,1538
2013,4,1480
2014,1,1519
2014,2,1536
2014,3,1592
2014,4,1580
2015,1,1543
2015,2,1595
2015,3,1602
2015,4,1542
2016,1,1658
2016,2,1583
2016,3,1594
2016,4,1470
2017,1,1563
2017,2,1561
2017,3,1566
2017,4,1467
2018,1,1518
2018,2,1480
2018,3,1621
2018,4,1534
2019,1,1609
2019,2,1541
2019,3,1588
2019,4,1548
2020,1,1539
2020,2,1504
2020,3,1565
2020,4,1502
