"Year","Quarter","Expenditure"
1950,1,911
1950,2,885
1950,3,828
1950,4,931
1951,1,868
1951,2,867
1951,3,892
1951,4,954
1952,1,940
1952,2,897
1952,3,957
1952,4,1002
1953,1,978
1953,2,903
1953,3,905
1953,4,972
1954,1,961
1954,2,932
1954,3,950
1954,4,1011
1955,1,1068
1955,2,938
1955,3,949
1955,4,992
1956,1,991
1956,2,931
1956,3,1003
1956,4,1036
1957,1,1050
1957,2,1021
1957,3,1005
1957,4,979
1958,1,972
1958,2,945
1958,3,950
1958,4,1062
1959,1,1038
1959,2,995
1959,3,998
1959,4,1103
1960,1,1067
1960,2,1022
1960,3,1018
1960,4,1082
1961,1,992
1961,2,1049
1961,3,1080
1961,4,1078
1962,1,1020
1962,2,1032
1962,3,1011
1962,4,1131
1963,1,1027
1963,2,1049
1963,3,1068
1963,4,1082
1964,1,1082
1964,2,1101
1964,3,1037
1964,4,1088
1965,1,1023
1965,2,1056
1965,3,1073
1965,4,1109
1966,1,1105
1966,2,1075
1966,3,1092
1966,4,1107
1967,1,1106
1967,2,1039
1967,3,1125
1967,4,1154
1968,1,1063
1968,2,1084
1968,3,1141
1968,4,1114
1969,1,1099
1969,2,1125
1969,3,1085
1969,4,1153
1970,1,1178
1970,2,1133
1970,3,1163
1970,4,1157
1971,1,1125
1971,2,1101
1971,3,1042
1971,4,1165
1972,1,1101
1972,2,1131
1972,3,1140
1972,4,1147
1973,1,1149
1973,2,1147
1973,3,1185
1973,4,1178
1974,1,1162
1974,2,1210
1974,3,1143
1974,4,1214
1975,1,1172
1975,2,1152
1975,3,1160
1975,4,1172
1976,1,1193
1976,2,1194
1976,3,1162
1976,4,1217
1977,1,1178
1977,2,1215
1977,3,1167
1977,4,1231
1978,1,1240
1978,2,1260
1978,3,1179
1978,4,1146
1979,1,1193
1979,2,1121
1979,3,1162
1979,4,1248
1980,1,1242
1980,2,1173
1980,3,1234
1980,4,1241
1981,1,1253
1981,2,1218
1981,3,1175
1981,4,1250
1982,1,1249
1982,2,1245
1982,3,1201
1982,4,1249
1983,1,1157
1983,2,1208
1983,3,1214
1983,4,1255
1984,1,1220
1984,2,1245
1984,3,1245
1984,4,1263
1985,1,1223
1985,2,1226
1985,3,1161
1985,4,1240
1986,1,1226
1986,2,1277
1986,3,1253
1986,4,1238
1987,1,1263
1987,2,1226
1987,3,1190
1987,4,1299
1988,1,1252
1988,2,1193
1988,3,1245
1988,4,1265
1989,1,1288
1989,2,1250
1989,3,1298
1989,4,1303
1990,1,1247
1990,2,1227
1990,3,1235
1990,4,1326
1991,1,1250
1991,2,1281
1991,3,1274
1991,4,1271
1992,1,1263
1992,2,1236
1992,3,1244
1992,4,1358
1993,1,1287
1993,2,1282
1993,3,1310
1993,4,1359
1994,1,1345
1994,2,1308
1994,3,1331
1994,4,1331
1995,1,1272
1995,2,1311
1995,3,1357
1995,4,1338
1996,1,1320
1996,2,1347
1996,3,1298
1996,4,1335
1997,1,1332
1997,2,1334
1997,3,1278
1997,4,1320
1998,1,1389
1998,2,1283
1998,3,1232
1998,4,1367
1999,1,1331
1999,2,1312
1999,3,1377
1999,4,1397
2000,1,1380
2000,2,1309
2000,3,1350
2000,4,1337
2001,1,1342
2001,2,1310
2001,3,1310
2001,4,1310
2002,1,1407
2002,2,1329
2002,3,1325
2002,4,1381
2003,1,1347
2003,2,1352
2003,3,1348
2003,4,1401
2004,1,1362
2004,2,1311
2004,3,1302
2004,4,1396
2005,1,1408
2005,2,1397
2005,3,1366
2005,4,1428
2006,1,1384
2006,2,1374
2006,3,1321
2006,4,1436
2007,1,1349
2007,2,1371
2007,3,1365
2007,4,1341
2008,1,1410
2008,2,1373
2008,3,1404
2008,4,1390
2009,1,1371
2009,2,1352
2009,3,1386
2009,4,1432
2010,1,1400
2010,2,1335
2010,3,1360
2010,4,1428
2011,1,1342
2011,2,1375
2011,3,1365
2011,4,1457
2012,1,1388
2012,2,1361
2012,3,1345
2012,4,1431
2013,1,1405
2013,2,1364
2013,3,1380
2013,4,1392
2014,1,1367
2014,2,1388
2014,3,1358
2014,4,1446
2015,1,1399
2015,2,1365
2015,3,1328
2015,4,1346
2016,1,1388
2016,2,1426
2016,3,1377
2016,4,1403
2017,1,1428
2017,2,1383
2017,3,1409
2017,4,1371
2018,1,1397
2018,2,1422
2018,3,1344
2018,4,1385
2019,1,1379
2019,2,1418
2019,3,1391
2019,4,1470
2020,1,1368
2020,2,1389
2020,3,1358
2020,4,1415
