"Year","Quarter","Expenditure"
1950,1,911
1950,2,893
1950,3,948
1950,4,978
1951,1,1082
1951,2,1158
1951,3,1087
1951,4,1212
1952,1,1299
1952,2,1226
1952,3,1250
1952,4,1440
1953,1,1244
1953,2,1339
1953,3,980
1953,4,1183
1954,1,1026
1954,2,1199
1954,3,1072
1954,4,1269
1955,1,1091
1955,2,1151
1955,3,1234
1955,4,1354
1956,1,1044
1956,2,1108
1956,3,1227
1956,4,1311
1957,1,1247
1957,2,1507
1957,3,1221
1957,4,1439
1958,1,1423
1958,2,1518
1958,3,1524
1958,4,1624
1959,1,1426
1959,2,1233
1959,3,1441
1959,4,1670
1960,1,1487
1960,2,1597
1960,3,1490
1960,4,1496
1961,1,1585
1961,2,1665
1961,3,1483
1961,4,1607
1962,1,1629
1962,2,1813
1962,3,1523
1962,4,1663
1963,1,1627
1963,2,1785
1963,3,1587
1963,4,1824
1964,1,1540
1964,2,1669
1964,3,1481
1964,4,1783
1965,1,1696
1965,2,1637
1965,3,1678
1965,4,1947
1966,1,1840
1966,2,1838
1966,3,1867
1966,4,1878
1967,1,1758
1967,2,1898
1967,3,1995
1967,4,2010
1968,1,2077
1968,2,2132
1968,3,2132
1968,4,2329
1969,1,2121
1969,2,2106
1969,3,1934
1969,4,2286
1970,1,2081
1970,2,2092
1970,3,2150
1970,4,2348
1971,1,2253
1971,2,2337
1971,3,2183
1971,4,2258
1972,1,2200
1972,2,2425
1972,3,2389
1972,4,2507
1973,1,2294
1973,2,2326
1973,3,2179
1973,4,2500
1974,1,2210
1974,2,2214
1974,3,2076
1974,4,2271
1975,1,2342
1975,2,2447
1975,3,2348
1975,4,2515
1976,1,2486
1976,2,2724
1976,3,2619
1976,4,2735
1977,1,2714
1977,2,2762
1977,3,2463
1977,4,2382
1978,1,2618
1978,2,2746
1978,3,2680
1978,4,2808
1979,1,2683
1979,2,2814
1979,3,2749
1979,4,2739
1980,1,2961
1980,2,2833
1980,3,2715
1980,4,2927
1981,1,3032
1981,2,2905
1981,3,3047
1981,4,3135
1982,1,3036
1982,2,2971
1982,3,2949
1982,4,3174
1983,1,3100
1983,2,3168
1983,3,3055
1983,4,3087
1984,1,3107
1984,2,3263
1984,3,3147
1984,4,3367
1985,1,3396
1985,2,3298
1985,3,3287
1985,4,3352
1986,1,3405
1986,2,3391
1986,3,3182
1986,4,3476
1987,1,3358
1987,2,3324
1987,3,3391
1987,4,3552
1988,1,3606
1988,2,3775
1988,3,3808
1988,4,3976
1989,1,3917
1989,2,3857
1989,3,3897
1989,4,3851
1990,1,3755
1990,2,3771
1990,3,3864
1990,4,3978
1991,1,4087
1991,2,4107
1991,3,4002
1991,4,4215
1992,1,4268
1992,2,4175
1992,3,4072
1992,4,4245
1993,1,4419
1993,2,4316
1993,3,4251
1993,4,4382
1994,1,4485
1994,2,4418
1994,3,4476
1994,4,4671
1995,1,4693
1995,2,4612
1995,3,4699
1995,4,4732
1996,1,4821
1996,2,4773
1996,3,4873
1996,4,4921
1997,1,4826
1997,2,4640
1997,3,4635
1997,4,4858
1998,1,5017
1998,2,4923
1998,3,4781
1998,4,5068
1999,1,5134
1999,2,5056
1999,3,5025
1999,4,5348
2000,1,5454
2000,2,5351
2000,3,5448
2000,4,5570
2001,1,5491
2001,2,5627
2001,3,5631
2001,4,5733
2002,1,5642
2002,2,5713
2002,3,5625
2002,4,5760
2003,1,5647
2003,2,5877
2003,3,6064
2003,4,6228
2004,1,6119
2004,2,6001
2004,3,6005
2004,4,6213
2005,1,6241
2005,2,6400
2005,3,6282
2005,4,6571
2006,1,6444
2006,2,6544
2006,3,6550
2006,4,6775
2007,1,6654
2007,2,6803
2007,3,6706
2007,4,6910
2008,1,6960
2008,2,6932
2008,3,6841
2008,4,7125
2009,1,7108
2009,2,6995
2009,3,7043
2009,4,7339
2010,1,7455
2010,2,7437
2010,3,7424
2010,4,7498
2011,1,7552
2011,2,7605
2011,3,7470
2011,4,7750
2012,1,7850
2012,2,7885
2012,3,7807
2012,4,8049
2013,1,8010
2013,2,8207
2013,3,8227
2013,4,8400
2014,1,8499
2014,2,8594
2014,3,8565
2014,4,8835
2015,1,8942
2015,2,8831
2015,3,8794
2015,4,8745
2016,1,8900
2016,2,9055
2016,3,9004
2016,4,9184
2017,1,9273
2017,2,9313
2017,3,9349
2017,4,9481
2018,1,9924
2018,2,9838
2018,3,9810
2018,4,10012
2019,1,10022
2019,2,9890
2019,3,9936
2019,4,10407
2020,1,10277
2020,2,10276
2020,3,10235
2020,4,10474
