"Year","Quarter","Expenditure"
1950,1,438
1950,2,469
1950,3,453
1950,4,479
1951,1,436
1951,2,468
1951,3,445
1951,4,488
1952,1,443
1952,2,470
1952,3,448
1952,4,487
1953,1,448
1953,2,464
1953,3,456
1953,4,504
1954,1,445
1954,2,482
1954,3,463
1954,4,508
1955,1,464
1955,2,502
1955,3,479
1955,4,522
1956,1,469
1956,2,509
1956,3,484
1956,4,516
1957,1,471
1957,2,504
1957,3,482
1957,4,529
1958,1,477
1958,2,499
1958,3,487
1958,4,528
1959,1,472
1959,2,505
1959,3,492
1959,4,522
1960,1,471
1960,2,506
1960,3,499
1960,4,544
1961,1,508
1961,2,536
1961,3,524
1961,4,554
1962,1,508
1962,2,530
1962,3,529
1962,4,562
1963,1,517
1963,2,541
1963,3,531
1963,4,563
1964,1,514
1964,2,542
1964,3,522
1964,4,572
1965,1,521
1965,2,554
1965,3,533
1965,4,579
1966,1,528
1966,2,576
1966,3,556
1966,4,588
1967,1,531
1967,2,567
1967,3,553
1967,4,591
1968,1,542
1968,2,587
1968,3,561
1968,4,594
1969,1,555
1969,2,584
1969,3,566
1969,4,589
1970,1,543
1970,2,581
1970,3,555
1970,4,587
1971,1,553
1971,2,578
1971,3,567
1971,4,606
1972,1,566
1972,2,598
1972,3,572
1972,4,612
1973,1,581
1973,2,615
1973,3,581
1973,4,612
1974,1,574
1974,2,612
1974,3,592
1974,4,627
1975,1,576
1975,2,602
1975,3,589
1975,4,619
1976,1,574
1976,2,619
1976,3,602
1976,4,633
1977,1,578
1977,2,607
1977,3,593
1977,4,618
1978,1,584
1978,2,621
1978,3,597
1978,4,635
1979,1,580
1979,2,618
1979,3,594
1979,4,636
1980,1,585
1980,2,622
1980,3,599
1980,4,658
1981,1,620
1981,2,629
1981,3,619
1981,4,659
1982,1,614
1982,2,634
1982,3,608
1982,4,637
1983,1,594
1983,2,639
1983,3,616
1983,4,648
1984,1,591
1984,2,631
1984,3,606
1984,4,652
1985,1,616
1985,2,649
1985,3,636
1985,4,665
1986,1,611
1986,2,653
1986,3,632
1986,4,665
1987,1,616
1987,2,656
1987,3,621
1987,4,664
1988,1,620
1988,2,665
1988,3,650
1988,4,682
1989,1,642
1989,2,667
1989,3,661
1989,4,691
1990,1,647
1990,2,679
1990,3,654
1990,4,678
1991,1,639
1991,2,667
1991,3,650
1991,4,685
1992,1,630
1992,2,674
1992,3,655
1992,4,685
1993,1,642
1993,2,667
1993,3,654
1993,4,689
1994,1,645
1994,2,676
1994,3,661
1994,4,701
1995,1,645
1995,2,689
1995,3,664
1995,4,705
1996,1,645
1996,2,682
1996,3,645
1996,4,689
1997,1,658
1997,2,685
1997,3,669
1997,4,710
1998,1,663
1998,2,696
1998,3,670
1998,4,706
1999,1,666
1999,2,688
1999,3,660
1999,4,706
2000,1,662
2000,2,693
2000,3,666
2000,4,697
2001,1,665
2001,2,705
2001,3,694
2001,4,729
2002,1,680
2002,2,708
2002,3,684
2002,4,715
2003,1,688
2003,2,702
2003,3,673
2003,4,725
2004,1,682
2004,2,708
2004,3,685
2004,4,710
2005,1,667
2005,2,707
2005,3,692
2005,4,730
2006,1,674
2006,2,707
2006,3,692
2006,4,719
2007,1,672
2007,2,699
2007,3,679
2007,4,700
2008,1,666
2008,2,700
2008,3,681
2008,4,725
2009,1,684
2009,2,728
2009,3,700
2009,4,727
2010,1,674
2010,2,708
2010,3,688
2010,4,727
2011,1,686
2011,2,724
2011,3,701
2011,4,746
2012,1,690
2012,2,732
2012,3,716
2012,4,739
2013,1,699
2013,2,738
2013,3,709
2013,4,746
2014,1,697
2014,2,734
2014,3,708
2014,4,747
2015,1,684
2015,2,718
2015,3,701
2015,4,720
2016,1,685
2016,2,711
2016,3,686
2016,4,726
2017,1,691
2017,2,718
2017,3,710
2017,4,741
2018,1,682
2018,2,720
2018,3,704
2018,4,734
2019,1,688
2019,2,719
2019,3,711
2019,4,742
2020,1,702
2020,2,728
2020,3,707
2020,4,744
