"Year","Quarter","Expenditure"
1950,1,1170
1950,2,820
1950,3,677
1950,4,1195
1951,1,1215
1951,2,776
1951,3,704
1951,4,1240
1952,1,1146
1952,2,1155
1952,3,894
1952,4,1511
1953,1,1292
1953,2,1143
1953,3,815
1953,4,1384
1954,1,1357
1954,2,807
1954,3,705
1954,4,1244
1955,1,1257
1955,2,1004
1955,3,773
1955,4,1516
1956,1,1284
1956,2,1222
1956,3,917
1956,4,1366
1957,1,1459
1957,2,1453
1957,3,895
1957,4,1419
1958,1,1549
1958,2,1338
1958,3,1242
1958,4,1476
1959,1,1418
1959,2,1161
1959,3,1046
1959,4,1586
1960,1,1525
1960,2,1285
1960,3,1053
1960,4,1847
1961,1,1756
1961,2,1565
1961,3,1348
1961,4,1856
1962,1,1932
1962,2,1605
1962,3,1302
1962,4,1873
1963,1,2045
1963,2,1653
1963,3,1641
1963,4,1989
1964,1,1905
1964,2,1707
1964,3,1599
1964,4,1853
1965,1,1843
1965,2,1850
1965,3,1382
1965,4,2026
1966,1,1897
1966,2,1813
1966,3,1609
1966,4,1975
1967,1,2105
1967,2,1873
1967,3,1829
1967,4,2220
1968,1,2469
1968,2,2039
1968,3,1959
1968,4,2218
1969,1,2459
1969,2,2250
1969,3,1878
1969,4,2214
1970,1,2378
1970,2,2021
1970,3,2071
1970,4,2692
1971,1,2528
1971,2,2253
1971,3,2066
1971,4,2625
1972,1,3019
1972,2,2524
1972,3,2110
1972,4,2797
1973,1,2936
1973,2,2682
1973,3,2241
1973,4,2872
1974,1,2965
1974,2,2771
1974,3,2333
1974,4,2839
1975,1,3025
1975,2,2709
1975,3,2485
1975,4,3143
1976,1,3154
1976,2,2955
1976,3,2692
1976,4,3331
1977,1,3082
1977,2,2910
1977,3,2798
1977,4,3526
1978,1,3449
1978,2,3285
1978,3,2835
1978,4,3318
1979,1,3539
1979,2,3388
1979,3,3313
1979,4,3809
1980,1,3952
1980,2,3481
1980,3,3218
1980,4,3806
1981,1,3776
1981,2,3626
1981,3,3347
1981,4,4059
1982,1,4004
1982,2,4011
1982,3,3666
1982,4,4246
1983,1,4128
1983,2,3942
1983,3,3770
1983,4,4390
1984,1,4280
1984,2,4057
1984,3,3966
1984,4,4669
1985,1,4588
1985,2,4206
1985,3,4167
1985,4,4705
1986,1,4675
1986,2,4370
1986,3,4322
1986,4,5134
1987,1,4977
1987,2,4985
1987,3,4663
1987,4,5228
1988,1,5462
1988,2,5145
1988,3,4860
1988,4,5480
1989,1,5510
1989,2,5207
1989,3,5166
1989,4,5638
1990,1,5766
1990,2,5305
1990,3,5261
1990,4,5826
1991,1,5934
1991,2,5734
1991,3,5335
1991,4,6013
1992,1,6034
1992,2,5759
1992,3,5787
1992,4,6543
1993,1,6656
1993,2,6420
1993,3,6049
1993,4,6816
1994,1,6789
1994,2,6560
1994,3,6523
1994,4,7004
1995,1,7054
1995,2,6811
1995,3,6519
1995,4,7354
1996,1,7565
1996,2,7393
1996,3,6946
1996,4,7526
1997,1,7423
1997,2,7440
1997,3,7318
1997,4,7955
1998,1,7830
1998,2,7660
1998,3,7379
1998,4,7738
1999,1,8034
1999,2,7917
1999,3,8011
1999,4,8548
2000,1,8737
2000,2,8535
2000,3,8424
2000,4,8999
2001,1,9139
2001,2,8850
2001,3,8965
2001,4,9378
2002,1,9480
2002,2,9368
2002,3,9377
2002,4,9916
2003,1,10138
2003,2,9783
2003,3,9817
2003,4,10477
2004,1,10565
2004,2,10230
2004,3,9876
2004,4,10577
2005,1,10818
2005,2,10604
2005,3,10379
2005,4,10944
2006,1,11319
2006,2,11025
2006,3,10956
2006,4,11815
2007,1,11855
2007,2,11820
2007,3,11893
2007,4,12127
2008,1,12130
2008,2,12111
2008,3,12377
2008,4,12787
2009,1,12766
2009,2,12511
2009,3,12578
2009,4,13397
2010,1,13289
2010,2,13305
2010,3,13108
2010,4,13821
2011,1,14001
2011,2,13886
2011,3,13948
2011,4,14611
2012,1,14746
2012,2,14518
2012,3,14361
2012,4,15237
2013,1,15154
2013,2,15433
2013,3,15136
2013,4,15722
2014,1,16088
2014,2,15948
2014,3,15935
2014,4,16465
2015,1,16611
2015,2,16867
2015,3,16811
2015,4,17473
2016,1,17542
2016,2,17422
2016,3,17256
2016,4,18027
2017,1,18289
2017,2,18164
2017,3,18292
2017,4,18905
2018,1,19023
2018,2,18893
2018,3,19020
2018,4,19763
2019,1,19862
2019,2,19748
2019,3,19898
2019,4,20722
2020,1,20822
2020,2,20599
2020,3,20709
2020,4,21715
