"Year","Quarter","Expenditure"
1950,1,755
1950,2,761
1950,3,756
1950,4,801
1951,1,774
1951,2,784
1951,3,809
1951,4,810
1952,1,798
1952,2,801
1952,3,817
1952,4,805
1953,1,763
1953,2,780
1953,3,823
1953,4,850
1954,1,797
1954,2,790
1954,3,786
1954,4,788
1955,1,793
1955,2,811
1955,3,811
1955,4,852
1956,1,856
1956,2,857
1956,3,793
1956,4,773
1957,1,774
1957,2,770
1957,3,804
1957,4,805
1958,1,791
1958,2,813
1958,3,863
1958,4,854
1959,1,841
1959,2,797
1959,3,813
1959,4,848
1960,1,809
1960,2,807
1960,3,792
1960,4,821
1961,1,801
1961,2,781
1961,3,786
1961,4,850
1962,1,798
1962,2,859
1962,3,837
1962,4,869
1963,1,875
1963,2,838
1963,3,880
1963,4,910
1964,1,903
1964,2,899
1964,3,883
1964,4,863
1965,1,824
1965,2,852
1965,3,838
1965,4,815
1966,1,810
1966,2,812
1966,3,827
1966,4,870
1967,1,861
1967,2,843
1967,3,866
1967,4,902
1968,1,882
1968,2,895
1968,3,905
1968,4,929
1969,1,954
1969,2,960
1969,3,933
1969,4,951
1970,1,932
1970,2,949
1970,3,913
1970,4,945
1971,1,912
1971,2,908
1971,3,879
1971,4,891
1972,1,918
1972,2,929
1972,3,933
1972,4,926
1973,1,937
1973,2,920
1973,3,942
1973,4,944
1974,1,913
1974,2,962
1974,3,892
1974,4,917
1975,1,928
1975,2,932
1975,3,944
1975,4,973
1976,1,925
1976,2,978
1976,3,930
1976,4,944
1977,1,938
1977,2,929
1977,3,906
1977,4,920
1978,1,892
1978,2,892
1978,3,860
1978,4,931
1979,1,920
1979,2,909
1979,3,914
1979,4,898
1980,1,894
1980,2,919
1980,3,916
1980,4,924
1981,1,961
1981,2,947
1981,3,971
1981,4,993
1982,1,958
1982,2,977
1982,3,964
1982,4,997
1983,1,956
1983,2,933
1983,3,948
1983,4,925
1984,1,868
1984,2,870
1984,3,875
1984,4,865
1985,1,859
1985,2,862
1985,3,853
1985,4,880
1986,1,869
1986,2,872
1986,3,867
1986,4,890
1987,1,913
1987,2,961
1987,3,1007
1987,4,972
1988,1,943
1988,2,943
1988,3,919
1988,4,925
1989,1,888
1989,2,913
1989,3,937
1989,4,938
1990,1,880
1990,2,894
1990,3,912
1990,4,966
1991,1,964
1991,2,980
1991,3,945
1991,4,952
1992,1,966
1992,2,987
1992,3,1002
1992,4,1031
1993,1,1049
1993,2,1038
1993,3,1063
1993,4,1041
1994,1,961
1994,2,990
1994,3,976
1994,4,1026
1995,1,976
1995,2,989
1995,3,1004
1995,4,1024
1996,1,971
1996,2,977
1996,3,945
1996,4,946
1997,1,917
1997,2,960
1997,3,986
1997,4,1029
1998,1,1036
1998,2,1030
1998,3,1000
1998,4,996
1999,1,975
1999,2,963
1999,3,938
1999,4,934
2000,1,939
2000,2,960
2000,3,1001
2000,4,1053
2001,1,1044
2001,2,998
2001,3,977
2001,4,1014
2002,1,1029
2002,2,1009
2002,3,1020
2002,4,1046
2003,1,1045
2003,2,1044
2003,3,1042
2003,4,1035
2004,1,964
2004,2,958
2004,3,993
2004,4,997
2005,1,990
2005,2,967
2005,3,971
2005,4,1000
2006,1,968
2006,2,1020
2006,3,983
2006,4,1026
2007,1,1003
2007,2,1035
2007,3,1052
2007,4,1082
2008,1,1080
2008,2,1041
2008,3,1058
2008,4,1045
2009,1,1051
2009,2,1033
2009,3,1011
2009,4,1031
2010,1,971
2010,2,1004
2010,3,998
2010,4,1002
2011,1,991
2011,2,1006
2011,3,994
2011,4,1015
2012,1,980
2012,2,993
2012,3,1016
2012,4,1043
2013,1,1014
2013,2,1002
2013,3,997
2013,4,996
2014,1,987
2014,2,975
2014,3,996
2014,4,991
2015,1,958
2015,2,977
2015,3,932
2015,4,968
2016,1,969
2016,2,980
2016,3,1007
2016,4,1035
2017,1,1050
2017,2,1079
2017,3,1061
2017,4,1079
2018,1,1067
2018,2,1057
2018,3,1041
2018,4,1046
2019,1,1038
2019,2,1049
2019,3,1053
2019,4,1065
2020,1,1049
2020,2,1029
2020,3,1035
2020,4,1099
