"Year","Quarter","Expenditure"
1950,1,462
1950,2,388
1950,3,513
1950,4,441
1951,1,500
1951,2,440
1951,3,577
1951,4,483
1952,1,493
1952,2,473
1952,3,598
1952,4,507
1953,1,554
1953,2,488
1953,3,621
1953,4,558
1954,1,557
1954,2,517
1954,3,640
1954,4,509
1955,1,545
1955,2,455
1955,3,596
1955,4,535
1956,1,606
1956,2,526
1956,3,667
1956,4,579
1957,1,603
1957,2,555
1957,3,668
1957,4,562
1958,1,593
1958,2,527
1958,3,671
1958,4,584
1959,1,618
1959,2,579
1959,3,688
1959,4,601
1960,1,634
1960,2,567
1960,3,730
1960,4,682
1961,1,713
1961,2,643
1961,3,750
1961,4,639
1962,1,697
1962,2,627
1962,3,748
1962,4,696
1963,1,762
1963,2,715
1963,3,847
1963,4,773
1964,1,796
1964,2,751
1964,3,879
1964,4,811
1965,1,857
1965,2,773
1965,3,878
1965,4,820
1966,1,847
1966,2,777
1966,3,893
1966,4,801
1967,1,851
1967,2,801
1967,3,926
1967,4,858
1968,1,908
1968,2,866
1968,3,994
1968,4,886
1969,1,920
1969,2,873
1969,3,996
1969,4,933
1970,1,940
1970,2,885
1970,3,1030
1970,4,968
1971,1,1009
1971,2,993
1971,3,1146
1971,4,1073
1972,1,1092
1972,2,1032
1972,3,1156
1972,4,1053
1973,1,1102
1973,2,1052
1973,3,1195
1973,4,1110
1974,1,1149
1974,2,1121
1974,3,1238
1974,4,1163
1975,1,1168
1975,2,1126
1975,3,1227
1975,4,1147
1976,1,1220
1976,2,1168
1976,3,1296
1976,4,1233
1977,1,1295
1977,2,1215
1977,3,1383
1977,4,1302
1978,1,1367
1978,2,1303
1978,3,1407
1978,4,1328
1979,1,1377
1979,2,1334
1979,3,1459
1979,4,1390
1980,1,1436
1980,2,1372
1980,3,1481
1980,4,1396
1981,1,1434
1981,2,1394
1981,3,1520
1981,4,1462
1982,1,1491
1982,2,1446
1982,3,1583
1982,4,1498
1983,1,1534
1983,2,1494
1983,3,1623
1983,4,1563
1984,1,1618
1984,2,1569
1984,3,1716
1984,4,1623
1985,1,1681
1985,2,1649
1985,3,1782
1985,4,1725
1986,1,1782
1986,2,1716
1986,3,1836
1986,4,1779
1987,1,1806
1987,2,1761
1987,3,1866
1987,4,1805
1988,1,1862
1988,2,1832
1988,3,1958
1988,4,1895
1989,1,1939
1989,2,1919
1989,3,2061
1989,4,1979
1990,1,2029
1990,2,2006
1990,3,2130
1990,4,2075
1991,1,2097
1991,2,2085
1991,3,2221
1991,4,2165
1992,1,2243
1992,2,2212
1992,3,2347
1992,4,2276
1993,1,2348
1993,2,2287
1993,3,2460
1993,4,2374
1994,1,2428
1994,2,2341
1994,3,2476
1994,4,2423
1995,1,2449
1995,2,2405
1995,3,2565
1995,4,2518
1996,1,2558
1996,2,2538
1996,3,2672
1996,4,2617
1997,1,2673
1997,2,2614
1997,3,2752
1997,4,2714
1998,1,2774
1998,2,2731
1998,3,2898
1998,4,2842
1999,1,2881
1999,2,2854
1999,3,3006
1999,4,2941
2000,1,2972
2000,2,2958
2000,3,3145
2000,4,3073
2001,1,3133
2001,2,3116
2001,3,3259
2001,4,3202
2002,1,3279
2002,2,3252
2002,3,3393
2002,4,3314
2003,1,3388
2003,2,3353
2003,3,3493
2003,4,3444
2004,1,3508
2004,2,3468
2004,3,3640
2004,4,3570
2005,1,3626
2005,2,3615
2005,3,3775
2005,4,3742
2006,1,3792
2006,2,3732
2006,3,3887
2006,4,3851
2007,1,3919
2007,2,3882
2007,3,4039
2007,4,3990
2008,1,4053
2008,2,4041
2008,3,4190
2008,4,4152
2009,1,4205
2009,2,4192
2009,3,4367
2009,4,4320
2010,1,4390
2010,2,4360
2010,3,4502
2010,4,4487
2011,1,4563
2011,2,4569
2011,3,4732
2011,4,4701
2012,1,4775
2012,2,4770
2012,3,4932
2012,4,4886
2013,1,4963
2013,2,4962
2013,3,5117
2013,4,5048
2014,1,5132
2014,2,5104
2014,3,5268
2014,4,5247
2015,1,5335
2015,2,5291
2015,3,5432
2015,4,5401
2016,1,5494
2016,2,5464
2016,3,5631
2016,4,5596
2017,1,5662
2017,2,5670
2017,3,5843
2017,4,5826
2018,1,5912
2018,2,5915
2018,3,6077
2018,4,6018
2019,1,6109
2019,2,6128
2019,3,6316
2019,4,6283
2020,1,6354
2020,2,6364
2020,3,6565
2020,4,6542
