"Year","Quarter","Expenditure"
1950,1,1097
1950,2,1132
1950,3,1195
1950,4,1216
1951,1,1071
1951,2,1091
1951,3,1164
1951,4,1229
1952,1,1135
1952,2,1077
1952,3,1168
1952,4,1216
1953,1,1081
1953,2,1075
1953,3,1184
1953,4,1225
1954,1,1132
1954,2,1150
1954,3,1205
1954,4,1339
1955,1,1180
1955,2,1156
1955,3,1186
1955,4,1185
1956,1,1168
1956,2,1210
1956,3,1290
1956,4,1268
1957,1,1218
1957,2,1167
1957,3,1216
1957,4,1233
1958,1,1155
1958,2,1174
1958,3,1293
1958,4,1364
1959,1,1179
1959,2,1232
1959,3,1293
1959,4,1328
1960,1,1179
1960,2,1206
1960,3,1274
1960,4,1329
1961,1,1249
1961,2,1194
1961,3,1241
1961,4,1304
1962,1,1191
1962,2,1179
1962,3,1220
1962,4,1313
1963,1,1212
1963,2,1236
1963,3,1330
1963,4,1384
1964,1,1217
1964,2,1223
1964,3,1298
1964,4,1379
1965,1,1307
1965,2,1283
1965,3,1314
1965,4,1376
1966,1,1288
1966,2,1298
1966,3,1332
1966,4,1362
1967,1,1285
1967,2,1264
1967,3,1387
1967,4,1433
1968,1,1349
1968,2,1319
1968,3,1387
1968,4,1432
1969,1,1292
1969,2,1290
1969,3,1390
1969,4,1459
1970,1,1323
1970,2,1287
1970,3,1383
1970,4,1410
1971,1,1228
1971,2,1313
1971,3,1424
1971,4,1487
1972,1,1391
1972,2,1314
1972,3,1426
1972,4,1371
1973,1,1280
1973,2,1361
1973,3,1383
1973,4,1474
1974,1,1418
1974,2,1389
1974,3,1415
1974,4,1454
1975,1,1393
1975,2,1391
1975,3,1450
1975,4,1476
1976,1,1427
1976,2,1349
1976,3,1471
1976,4,1508
1977,1,1348
1977,2,1388
1977,3,1392
1977,4,1478
1978,1,1383
1978,2,1409
1978,3,1507
1978,4,1532
1979,1,1475
1979,2,1385
1979,3,1476
1979,4,1505
1980,1,1382
1980,2,1426
1980,3,1485
1980,4,1518
1981,1,1431
1981,2,1365
1981,3,1527
1981,4,1515
1982,1,1400
1982,2,1421
1982,3,1533
1982,4,1471
1983,1,1377
1983,2,1380
1983,3,1486
1983,4,1535
1984,1,1379
1984,2,1374
1984,3,1486
1984,4,1549
1985,1,1422
1985,2,1356
1985,3,1458
1985,4,1595
1986,1,1489
1986,2,1423
1986,3,1526
1986,4,1526
1987,1,1475
1987,2,1433
1987,3,1532
1987,4,1568
1988,1,1462
1988,2,1441
1988,3,1583
1988,4,1632
1989,1,1454
1989,2,1429
1989,3,1533
1989,4,1601
1990,1,1524
1990,2,1473
1990,3,1579
1990,4,1618
1991,1,1500
1991,2,1470
1991,3,1576
1991,4,1591
1992,1,1499
1992,2,1458
1992,3,1597
1992,4,1652
1993,1,1516
1993,2,1492
1993,3,1606
1993,4,1536
1994,1,1466
1994,2,1497
1994,3,1577
1994,4,1691
1995,1,1568
1995,2,1484
1995,3,1582
1995,4,1632
1996,1,1486
1996,2,1530
1996,3,1581
1996,4,1578
1997,1,1498
1997,2,1503
1997,3,1636
1997,4,1723
1998,1,1594
1998,2,1576
1998,3,1599
1998,4,1610
1999,1,1573
1999,2,1524
1999,3,1652
1999,4,1721
2000,1,1568
2000,2,1555
2000,3,1626
2000,4,1687
2001,1,1539
2001,2,1531
2001,3,1576
2001,4,1685
2002,1,1583
2002,2,1557
2002,3,1569
2002,4,1712
2003,1,1582
2003,2,1515
2003,3,1622
2003,4,1752
2004,1,1612
2004,2,1535
2004,3,1613
2004,4,1718
2005,1,1584
2005,2,1563
2005,3,1725
2005,4,1728
2006,1,1666
2006,2,1628
2006,3,1661
2006,4,1692
2007,1,1545
2007,2,1546
2007,3,1625
2007,4,1692
2008,1,1597
2008,2,1605
2008,3,1608
2008,4,1705
2009,1,1609
2009,2,1612
2009,3,1747
2009,4,1726
2010,1,1584
2010,2,1625
2010,3,1688
2010,4,1739
2011,1,1685
2011,2,1736
2011,3,1687
2011,4,1719
2012,1,1701
2012,2,1651
2012,3,1752
2012,4,1822
2013,1,1679
2013,2,1618
2013,3,1700
2013,4,1659
2014,1,1578
2014,2,1582
2014,3,1717
2014,4,1787
2015,1,1619
2015,2,1654
2015,3,1754
2015,4,1786
2016,1,1639
2016,2,1625
2016,3,1764
2016,4,1777
2017,1,1715
2017,2,1661
2017,3,1740
2017,4,1818
2018,1,1686
2018,2,1618
2018,3,1766
2018,4,1760
2019,1,1693
2019,2,1683
2019,3,1747
2019,4,1807
2020,1,1712
2020,2,1671
2020,3,1714
2020,4,1725
