"Year","Quarter","Expenditure"
1950,1,231
1950,2,225
1950,3,234
1950,4,242
1951,1,235
1951,2,233
1951,3,254
1951,4,242
1952,1,232
1952,2,220
1952,3,237
1952,4,233
1953,1,237
1953,2,229
1953,3,249
1953,4,241
1954,1,228
1954,2,225
1954,3,244
1954,4,236
1955,1,240
1955,2,233
1955,3,250
1955,4,248
1956,1,240
1956,2,238
1956,3,253
1956,4,261
1957,1,250
1957,2,248
1957,3,262
1957,4,259
1958,1,253
1958,2,246
1958,3,278
1958,4,270
1959,1,263
1959,2,265
1959,3,273
1959,4,275
1960,1,276
1960,2,265
1960,3,274
1960,4,272
1961,1,269
1961,2,263
1961,3,275
1961,4,274
1962,1,271
1962,2,264
1962,3,281
1962,4,267
1963,1,256
1963,2,253
1963,3,272
1963,4,268
1964,1,269
1964,2,269
1964,3,283
1964,4,272
1965,1,270
1965,2,270
1965,3,292
1965,4,284
1966,1,278
1966,2,269
1966,3,289
1966,4,285
1967,1,277
1967,2,268
1967,3,293
1967,4,291
1968,1,287
1968,2,278
1968,3,301
1968,4,293
1969,1,296
1969,2,289
1969,3,307
1969,4,310
1970,1,304
1970,2,296
1970,3,309
1970,4,305
1971,1,294
1971,2,286
1971,3,309
1971,4,301
1972,1,288
1972,2,300
1972,3,319
1972,4,310
1973,1,310
1973,2,301
1973,3,322
1973,4,313
1974,1,307
1974,2,298
1974,3,318
1974,4,314
1975,1,312
1975,2,301
1975,3,314
1975,4,322
1976,1,319
1976,2,311
1976,3,337
1976,4,335
1977,1,327
1977,2,332
1977,3,351
1977,4,347
1978,1,334
1978,2,333
1978,3,347
1978,4,337
1979,1,337
1979,2,333
1979,3,348
1979,4,339
1980,1,340
1980,2,329
1980,3,348
1980,4,344
1981,1,333
1981,2,332
1981,3,358
1981,4,343
1982,1,336
1982,2,316
1982,3,335
1982,4,339
1983,1,330
1983,2,328
1983,3,349
1983,4,337
1984,1,337
1984,2,330
1984,3,346
1984,4,347
1985,1,354
1985,2,349
1985,3,367
1985,4,369
1986,1,359
1986,2,345
1986,3,363
1986,4,362
1987,1,356
1987,2,348
1987,3,362
1987,4,358
1988,1,354
1988,2,352
1988,3,371
1988,4,363
1989,1,367
1989,2,356
1989,3,370
1989,4,365
1990,1,356
1990,2,352
1990,3,381
1990,4,385
1991,1,386
1991,2,378
1991,3,406
1991,4,402
1992,1,401
1992,2,401
1992,3,413
1992,4,404
1993,1,408
1993,2,401
1993,3,411
1993,4,393
1994,1,398
1994,2,398
1994,3,413
1994,4,403
1995,1,397
1995,2,388
1995,3,408
1995,4,399
1996,1,400
1996,2,389
1996,3,407
1996,4,414
1997,1,411
1997,2,398
1997,3,417
1997,4,415
1998,1,414
1998,2,412
1998,3,419
1998,4,412
1999,1,416
1999,2,405
1999,3,417
1999,4,420
2000,1,414
2000,2,410
2000,3,428
2000,4,421
2001,1,421
2001,2,414
2001,3,428
2001,4,430
2002,1,429
2002,2,422
2002,3,434
2002,4,430
2003,1,422
2003,2,426
2003,3,443
2003,4,434
2004,1,437
2004,2,428
2004,3,446
2004,4,443
2005,1,439
2005,2,436
2005,3,459
2005,4,456
2006,1,450
2006,2,442
2006,3,466
2006,4,459
2007,1,448
2007,2,440
2007,3,449
2007,4,451
2008,1,445
2008,2,441
2008,3,467
2008,4,464
2009,1,466
2009,2,455
2009,3,466
2009,4,464
2010,1,465
2010,2,460
2010,3,469
2010,4,460
2011,1,457
2011,2,461
2011,3,484
2011,4,477
2012,1,474
2012,2,460
2012,3,478
2012,4,480
2013,1,474
2013,2,470
2013,3,495
2013,4,497
2014,1,497
2014,2,493
2014,3,515
2014,4,508
2015,1,509
2015,2,498
2015,3,522
2015,4,525
2016,1,514
2016,2,501
2016,3,516
2016,4,516
2017,1,507
2017,2,500
2017,3,520
2017,4,514
2018,1,515
2018,2,506
2018,3,523
2018,4,522
2019,1,523
2019,2,519
2019,3,532
2019,4,520
2020,1,513
2020,2,509
2020,3,526
2020,4,533
