"Year","Quarter","Expenditure"
1950,1,780
1950,2,741
1950,3,718
1950,4,695
1951,1,798
1951,2,765
1951,3,750
1951,4,741
1952,1,831
1952,2,784
1952,3,773
1952,4,744
1953,1,840
1953,2,792
1953,3,784
1953,4,764
1954,1,863
1954,2,814
1954,3,796
1954,4,779
1955,1,863
1955,2,833
1955,3,824
1955,4,800
1956,1,874
1956,2,831
1956,3,822
1956,4,807
1957,1,912
1957,2,862
1957,3,839
1957,4,820
1958,1,916
1958,2,872
1958,3,853
1958,4,838
1959,1,929
1959,2,868
1959,3,856
1959,4,834
1960,1,925
1960,2,885
1960,3,869
1960,4,850
1961,1,953
1961,2,904
1961,3,893
1961,4,886
1962,1,970
1962,2,925
1962,3,906
1962,4,889
1963,1,978
1963,2,941
1963,3,916
1963,4,901
1964,1,988
1964,2,943
1964,3,921
1964,4,915
1965,1,1003
1965,2,965
1965,3,948
1965,4,917
1966,1,1007
1966,2,963
1966,3,946
1966,4,934
1967,1,1028
1967,2,983
1967,3,962
1967,4,957
1968,1,1040
1968,2,1004
1968,3,984
1968,4,971
1969,1,1069
1969,2,1014
1969,3,983
1969,4,968
1970,1,1071
1970,2,1020
1970,3,1000
1970,4,980
1971,1,1070
1971,2,1029
1971,3,1022
1971,4,1002
1972,1,1092
1972,2,1040
1972,3,1029
1972,4,1007
1973,1,1104
1973,2,1065
1973,3,1058
1973,4,1034
1974,1,1123
1974,2,1068
1974,3,1046
1974,4,1041
1975,1,1124
1975,2,1097
1975,3,1069
1975,4,1054
1976,1,1132
1976,2,1092
1976,3,1074
1976,4,1052
1977,1,1141
1977,2,1094
1977,3,1084
1977,4,1069
1978,1,1161
1978,2,1108
1978,3,1089
1978,4,1078
1979,1,1163
1979,2,1109
1979,3,1093
1979,4,1070
1980,1,1163
1980,2,1124
1980,3,1118
1980,4,1096
1981,1,1187
1981,2,1147
1981,3,1123
1981,4,1097
1982,1,1192
1982,2,1154
1982,3,1146
1982,4,1126
1983,1,1211
1983,2,1159
1983,3,1150
1983,4,1128
1984,1,1216
1984,2,1168
1984,3,1149
1984,4,1133
1985,1,1224
1985,2,1171
1985,3,1159
1985,4,1145
1986,1,1216
1986,2,1175
1986,3,1159
1986,4,1138
1987,1,1235
1987,2,1188
1987,3,1173
1987,4,1168
1988,1,1258
1988,2,1214
1988,3,1192
1988,4,1172
1989,1,1257
1989,2,1214
1989,3,1198
1989,4,1173
1990,1,1254
1990,2,1209
1990,3,1186
1990,4,1171
1991,1,1268
1991,2,1227
1991,3,1210
1991,4,1184
1992,1,1271
1992,2,1238
1992,3,1229
1992,4,1217
1993,1,1295
1993,2,1255
1993,3,1233
1993,4,1223
1994,1,1320
1994,2,1276
1994,3,1241
1994,4,1232
1995,1,1322
1995,2,1279
1995,3,1253
1995,4,1221
1996,1,1317
1996,2,1264
1996,3,1248
1996,4,1236
1997,1,1331
1997,2,1299
1997,3,1266
1997,4,1251
1998,1,1339
1998,2,1292
1998,3,1280
1998,4,1274
1999,1,1356
1999,2,1307
1999,3,1294
1999,4,1264
2000,1,1340
2000,2,1292
2000,3,1286
2000,4,1269
2001,1,1355
2001,2,1319
2001,3,1293
2001,4,1270
2002,1,1363
2002,2,1323
2002,3,1297
2002,4,1279
2003,1,1361
2003,2,1330
2003,3,1320
2003,4,1294
2004,1,1368
2004,2,1316
2004,3,1302
2004,4,1281
2005,1,1373
2005,2,1322
2005,3,1309
2005,4,1282
2006,1,1383
2006,2,1337
2006,3,1306
2006,4,1288
2007,1,1379
2007,2,1327
2007,3,1309
2007,4,1295
2008,1,1402
2008,2,1352
2008,3,1328
2008,4,1307
2009,1,1402
2009,2,1356
2009,3,1339
2009,4,1309
2010,1,1412
2010,2,1362
2010,3,1338
2010,4,1319
2011,1,1418
2011,2,1378
2011,3,1338
2011,4,1314
2012,1,1405
2012,2,1362
2012,3,1337
2012,4,1319
2013,1,1412
2013,2,1365
2013,3,1341
2013,4,1322
2014,1,1410
2014,2,1367
2014,3,1349
2014,4,1317
2015,1,1417
2015,2,1371
2015,3,1347
2015,4,1340
2016,1,1435
2016,2,1380
2016,3,1366
2016,4,1344
2017,1,1426
2017,2,1381
2017,3,1368
2017,4,1357
2018,1,1457
2018,2,1419
2018,3,1383
2018,4,1366
2019,1,1454
2019,2,1414
2019,3,1384
2019,4,1368
2020,1,1457
2020,2,1405
2020,3,1389
2020,4,1353
