"Year","Quarter","Expenditure"
1950,1,602
1950,2,615
1950,3,568
1950,4,577
1951,1,625
1951,2,609
1951,3,589
1951,4,624
1952,1,605
1952,2,598
1952,3,542
1952,4,641
1953,1,654
1953,2,632
1953,3,564
1953,4,611
1954,1,642
1954,2,624
1954,3,573
1954,4,645
1955,1,672
1955,2,632
1955,3,595
1955,4,613
1956,1,657
1956,2,625
1956,3,596
1956,4,628
1957,1,626
1957,2,637
1957,3,627
1957,4,652
1958,1,665
1958,2,638
1958,3,606
1958,4,652
1959,1,652
1959,2,655
1959,3,629
1959,4,674
1960,1,647
1960,2,640
1960,3,638
1960,4,657
1961,1,667
1961,2,646
1961,3,650
1961,4,689
1962,1,676
1962,2,695
1962,3,644
1962,4,650
1963,1,671
1963,2,646
1963,3,629
1963,4,682
1964,1,684
1964,2,655
1964,3,647
1964,4,694
1965,1,696
1965,2,644
1965,3,616
1965,4,646
1966,1,705
1966,2,676
1966,3,677
1966,4,680
1967,1,711
1967,2,693
1967,3,650
1967,4,703
1968,1,734
1968,2,689
1968,3,657
1968,4,665
1969,1,698
1969,2,703
1969,3,663
1969,4,686
1970,1,714
1970,2,710
1970,3,699
1970,4,724
1971,1,746
1971,2,736
1971,3,710
1971,4,721
1972,1,747
1972,2,714
1972,3,686
1972,4,726
1973,1,743
1973,2,733
1973,3,729
1973,4,734
1974,1,729
1974,2,697
1974,3,687
1974,4,742
1975,1,770
1975,2,756
1975,3,715
1975,4,738
1976,1,728
1976,2,719
1976,3,691
1976,4,725
1977,1,750
1977,2,740
1977,3,710
1977,4,775
1978,1,764
1978,2,747
1978,3,707
1978,4,744
1979,1,779
1979,2,755
1979,3,743
1979,4,766
1980,1,784
1980,2,762
1980,3,676
1980,4,742
1981,1,780
1981,2,770
1981,3,721
1981,4,743
1982,1,768
1982,2,809
1982,3,745
1982,4,752
1983,1,790
1983,2,793
1983,3,747
1983,4,781
1984,1,812
1984,2,769
1984,3,758
1984,4,772
1985,1,772
1985,2,782
1985,3,742
1985,4,782
1986,1,785
1986,2,787
1986,3,730
1986,4,802
1987,1,855
1987,2,825
1987,3,764
1987,4,799
1988,1,789
1988,2,798
1988,3,763
1988,4,799
1989,1,837
1989,2,838
1989,3,781
1989,4,824
1990,1,822
1990,2,802
1990,3,782
1990,4,790
1991,1,835
1991,2,814
1991,3,773
1991,4,815
1992,1,838
1992,2,822
1992,3,760
1992,4,806
1993,1,853
1993,2,830
1993,3,785
1993,4,811
1994,1,863
1994,2,804
1994,3,779
1994,4,832
1995,1,848
1995,2,855
1995,3,822
1995,4,819
1996,1,879
1996,2,840
1996,3,815
1996,4,854
1997,1,859
1997,2,860
1997,3,845
1997,4,880
1998,1,849
1998,2,862
1998,3,829
1998,4,844
1999,1,849
1999,2,856
1999,3,860
1999,4,871
2000,1,899
2000,2,893
2000,3,844
2000,4,879
2001,1,885
2001,2,879
2001,3,851
2001,4,899
2002,1,917
2002,2,868
2002,3,831
2002,4,890
2003,1,924
2003,2,898
2003,3,837
2003,4,865
2004,1,900
2004,2,902
2004,3,881
2004,4,913
2005,1,908
2005,2,903
2005,3,863
2005,4,919
2006,1,920
2006,2,874
2006,3,843
2006,4,887
2007,1,951
2007,2,899
2007,3,885
2007,4,964
2008,1,972
2008,2,895
2008,3,894
2008,4,917
2009,1,918
2009,2,940
2009,3,880
2009,4,905
2010,1,960
2010,2,948
2010,3,929
2010,4,907
2011,1,952
2011,2,970
2011,3,933
2011,4,965
2012,1,987
2012,2,927
2012,3,923
2012,4,942
2013,1,961
2013,2,957
2013,3,911
2013,4,972
2014,1,1009
2014,2,941
2014,3,940
2014,4,974
2015,1,1031
2015,2,984
2015,3,977
2015,4,993
2016,1,1021
2016,2,978
2016,3,945
2016,4,989
2017,1,1028
2017,2,986
2017,3,973
2017,4,1033
2018,1,1021
2018,2,994
2018,3,962
2018,4,1051
2019,1,1043
2019,2,1014
2019,3,967
2019,4,1023
2020,1,1020
2020,2,996
2020,3,1002
2020,4,1023
