"Year","Quarter","Expenditure"
1950,1,412
1950,2,415
1950,3,417
1950,4,393
1951,1,424
1951,2,448
1951,3,442
1951,4,418
1952,1,460
1952,2,447
1952,3,431
1952,4,387
1953,1,431
1953,2,436
1953,3,433
1953,4,397
1954,1,444
1954,2,457
1954,3,476
1954,4,453
1955,1,478
1955,2,478
1955,3,507
1955,4,483
1956,1,503
1956,2,479
1956,3,495
1956,4,461
1957,1,517
1957,2,494
1957,3,501
1957,4,477
1958,1,502
1958,2,491
1958,3,494
1958,4,468
1959,1,486
1959,2,503
1959,3,510
1959,4,502
1960,1,541
1960,2,510
1960,3,499
1960,4,487
1961,1,557
1961,2,561
1961,3,560
1961,4,516
1962,1,557
1962,2,539
1962,3,544
1962,4,503
1963,1,545
1963,2,539
1963,3,570
1963,4,547
1964,1,604
1964,2,591
1964,3,587
1964,4,536
1965,1,595
1965,2,605
1965,3,599
1965,4,571
1966,1,597
1966,2,602
1966,3,622
1966,4,565
1967,1,610
1967,2,610
1967,3,627
1967,4,621
1968,1,646
1968,2,629
1968,3,612
1968,4,580
1969,1,643
1969,2,634
1969,3,631
1969,4,587
1970,1,623
1970,2,600
1970,3,615
1970,4,587
1971,1,627
1971,2,609
1971,3,631
1971,4,598
1972,1,659
1972,2,652
1972,3,659
1972,4,646
1973,1,696
1973,2,702
1973,3,710
1973,4,692
1974,1,738
1974,2,718
1974,3,730
1974,4,694
1975,1,735
1975,2,740
1975,3,740
1975,4,700
1976,1,735
1976,2,738
1976,3,726
1976,4,671
1977,1,704
1977,2,689
1977,3,689
1977,4,668
1978,1,710
1978,2,722
1978,3,720
1978,4,691
1979,1,721
1979,2,725
1979,3,734
1979,4,710
1980,1,781
1980,2,756
1980,3,753
1980,4,702
1981,1,736
1981,2,710
1981,3,714
1981,4,693
1982,1,742
1982,2,742
1982,3,752
1982,4,734
1983,1,767
1983,2,742
1983,3,750
1983,4,729
1984,1,754
1984,2,766
1984,3,777
1984,4,734
1985,1,789
1985,2,780
1985,3,772
1985,4,759
1986,1,786
1986,2,789
1986,3,804
1986,4,786
1987,1,822
1987,2,801
1987,3,814
1987,4,777
1988,1,837
1988,2,831
1988,3,847
1988,4,820
1989,1,852
1989,2,845
1989,3,830
1989,4,779
1990,1,801
1990,2,793
1990,3,788
1990,4,763
1991,1,837
1991,2,828
1991,3,830
1991,4,795
1992,1,820
1992,2,821
1992,3,813
1992,4,780
1993,1,835
1993,2,824
1993,3,815
1993,4,782
1994,1,816
1994,2,791
1994,3,813
1994,4,782
1995,1,819
1995,2,800
1995,3,783
1995,4,749
1996,1,772
1996,2,797
1996,3,806
1996,4,760
1997,1,805
1997,2,807
1997,3,815
1997,4,761
1998,1,798
1998,2,781
1998,3,782
1998,4,751
1999,1,826
1999,2,822
1999,3,819
1999,4,800
2000,1,863
2000,2,861
2000,3,859
2000,4,848
2001,1,894
2001,2,886
2001,3,876
2001,4,854
2002,1,893
2002,2,890
2002,3,871
2002,4,844
2003,1,885
2003,2,867
2003,3,863
2003,4,853
2004,1,895
2004,2,872
2004,3,864
2004,4,820
2005,1,878
2005,2,869
2005,3,869
2005,4,825
2006,1,875
2006,2,872
2006,3,869
2006,4,807
2007,1,843
2007,2,849
2007,3,851
2007,4,816
2008,1,847
2008,2,855
2008,3,841
2008,4,787
2009,1,824
2009,2,840
2009,3,859
2009,4,821
2010,1,868
2010,2,862
2010,3,888
2010,4,825
2011,1,884
2011,2,879
2011,3,872
2011,4,856
2012,1,876
2012,2,906
2012,3,901
2012,4,855
2013,1,885
2013,2,890
2013,3,884
2013,4,841
2014,1,888
2014,2,866
2014,3,867
2014,4,835
2015,1,899
2015,2,895
2015,3,897
2015,4,864
2016,1,868
2016,2,865
2016,3,876
2016,4,840
2017,1,895
2017,2,877
2017,3,858
2017,4,815
2018,1,842
2018,2,828
2018,3,843
2018,4,822
2019,1,898
2019,2,909
2019,3,920
2019,4,907
2020,1,934
2020,2,943
2020,3,924
2020,4,883
