"Year","Quarter","Expenditure"
1950,1,624
1950,2,641
1950,3,654
1950,4,701
1951,1,617
1951,2,609
1951,3,690
1951,4,685
1952,1,623
1952,2,650
1952,3,759
1952,4,803
1953,1,669
1953,2,714
1953,3,661
1953,4,744
1954,1,648
1954,2,714
1954,3,748
1954,4,730
1955,1,665
1955,2,620
1955,3,795
1955,4,799
1956,1,781
1956,2,653
1956,3,737
1956,4,799
1957,1,740
1957,2,717
1957,3,711
1957,4,787
1958,1,693
1958,2,748
1958,3,788
1958,4,800
1959,1,762
1959,2,763
1959,3,784
1959,4,824
1960,1,728
1960,2,771
1960,3,818
1960,4,782
1961,1,723
1961,2,729
1961,3,830
1961,4,807
1962,1,818
1962,2,763
1962,3,835
1962,4,859
1963,1,812
1963,2,761
1963,3,807
1963,4,950
1964,1,793
1964,2,793
1964,3,780
1964,4,828
1965,1,715
1965,2,707
1965,3,857
1965,4,896
1966,1,856
1966,2,811
1966,3,882
1966,4,939
1967,1,839
1967,2,770
1967,3,898
1967,4,965
1968,1,858
1968,2,795
1968,3,875
1968,4,998
1969,1,870
1969,2,840
1969,3,822
1969,4,948
1970,1,857
1970,2,867
1970,3,872
1970,4,938
1971,1,871
1971,2,846
1971,3,918
1971,4,979
1972,1,923
1972,2,938
1972,3,931
1972,4,999
1973,1,958
1973,2,974
1973,3,999
1973,4,1015
1974,1,919
1974,2,987
1974,3,968
1974,4,1009
1975,1,901
1975,2,987
1975,3,956
1975,4,1130
1976,1,998
1976,2,1014
1976,3,993
1976,4,1051
1977,1,974
1977,2,1007
1977,3,1103
1977,4,1144
1978,1,1068
1978,2,1056
1978,3,1050
1978,4,1106
1979,1,1004
1979,2,1016
1979,3,1062
1979,4,1113
1980,1,1089
1980,2,1046
1980,3,1015
1980,4,1145
1981,1,1101
1981,2,1100
1981,3,1174
1981,4,1187
1982,1,1091
1982,2,1040
1982,3,1144
1982,4,1161
1983,1,1068
1983,2,1103
1983,3,1193
1983,4,1215
1984,1,1180
1984,2,1165
1984,3,1146
1984,4,1222
1985,1,1166
1985,2,1143
1985,3,1143
1985,4,1211
1986,1,1170
1986,2,1162
1986,3,1237
1986,4,1283
1987,1,1192
1987,2,1151
1987,3,1250
1987,4,1271
1988,1,1233
1988,2,1243
1988,3,1280
1988,4,1334
1989,1,1250
1989,2,1231
1989,3,1311
1989,4,1323
1990,1,1241
1990,2,1249
1990,3,1287
1990,4,1365
1991,1,1263
1991,2,1191
1991,3,1274
1991,4,1332
1992,1,1316
1992,2,1333
1992,3,1289
1992,4,1420
1993,1,1358
1993,2,1329
1993,3,1334
1993,4,1410
1994,1,1384
1994,2,1371
1994,3,1427
1994,4,1422
1995,1,1385
1995,2,1422
1995,3,1419
1995,4,1480
1996,1,1407
1996,2,1402
1996,3,1479
1996,4,1546
1997,1,1528
1997,2,1444
1997,3,1460
1997,4,1510
1998,1,1439
1998,2,1482
1998,3,1477
1998,4,1518
1999,1,1470
1999,2,1452
1999,3,1534
1999,4,1551
2000,1,1519
2000,2,1497
2000,3,1573
2000,4,1574
2001,1,1597
2001,2,1524
2001,3,1592
2001,4,1590
2002,1,1558
2002,2,1543
2002,3,1589
2002,4,1541
2003,1,1586
2003,2,1553
2003,3,1622
2003,4,1664
2004,1,1575
2004,2,1571
2004,3,1634
2004,4,1730
2005,1,1651
2005,2,1566
2005,3,1676
2005,4,1803
2006,1,1694
2006,2,1700
2006,3,1762
2006,4,1762
2007,1,1729
2007,2,1692
2007,3,1745
2007,4,1765
2008,1,1720
2008,2,1703
2008,3,1823
2008,4,1835
2009,1,1774
2009,2,1706
2009,3,1765
2009,4,1880
2010,1,1816
2010,2,1776
2010,3,1779
2010,4,1895
2011,1,1854
2011,2,1825
2011,3,1871
2011,4,1915
2012,1,1833
2012,2,1822
2012,3,1842
2012,4,1926
2013,1,1885
2013,2,1871
2013,3,1940
2013,4,1987
2014,1,1925
2014,2,1890
2014,3,1986
2014,4,2013
2015,1,2003
2015,2,1956
2015,3,1975
2015,4,2056
2016,1,2009
2016,2,1953
2016,3,2032
2016,4,2107
2017,1,2018
2017,2,2067
2017,3,2102
2017,4,2082
2018,1,2098
2018,2,2027
2018,3,2070
2018,4,2140
2019,1,2087
2019,2,2064
2019,3,2146
2019,4,2166
2020,1,2173
2020,2,2089
2020,3,2201
2020,4,2214
