"Year","Quarter","Expenditure"
1950,1,595
1950,2,580
1950,3,530
1950,4,621
1951,1,593
1951,2,601
1951,3,610
1951,4,625
1952,1,711
1952,2,660
1952,3,643
1952,4,664
1953,1,597
1953,2,621
1953,3,690
1953,4,693
1954,1,692
1954,2,668
1954,3,678
1954,4,661
1955,1,671
1955,2,647
1955,3,654
1955,4,679
1956,1,643
1956,2,623
1956,3,640
1956,4,684
1957,1,661
1957,2,657
1957,3,720
1957,4,683
1958,1,651
1958,2,709
1958,3,703
1958,4,773
1959,1,747
1959,2,785
1959,3,717
1959,4,768
1960,1,755
1960,2,706
1960,3,690
1960,4,722
1961,1,712
1961,2,690
1961,3,691
1961,4,661
1962,1,675
1962,2,681
1962,3,641
1962,4,725
1963,1,720
1963,2,722
1963,3,736
1963,4,759
1964,1,809
1964,2,767
1964,3,774
1964,4,806
1965,1,772
1965,2,792
1965,3,771
1965,4,769
1966,1,801
1966,2,769
1966,3,764
1966,4,793
1967,1,734
1967,2,720
1967,3,703
1967,4,745
1968,1,760
1968,2,781
1968,3,744
1968,4,718
1969,1,732
1969,2,711
1969,3,665
1969,4,702
1970,1,689
1970,2,695
1970,3,674
1970,4,708
1971,1,774
1971,2,768
1971,3,784
1971,4,807
1972,1,804
1972,2,794
1972,3,774
1972,4,788
1973,1,774
1973,2,777
1973,3,756
1973,4,773
1974,1,770
1974,2,747
1974,3,746
1974,4,773
1975,1,751
1975,2,764
1975,3,780
1975,4,804
1976,1,789
1976,2,793
1976,3,821
1976,4,825
1977,1,810
1977,2,794
1977,3,735
1977,4,786
1978,1,766
1978,2,790
1978,3,815
1978,4,867
1979,1,832
1979,2,865
1979,3,848
1979,4,842
1980,1,808
1980,2,807
1980,3,811
1980,4,814
1981,1,810
1981,2,832
1981,3,820
1981,4,854
1982,1,871
1982,2,810
1982,3,782
1982,4,869
1983,1,831
1983,2,863
1983,3,811
1983,4,865
1984,1,834
1984,2,877
1984,3,904
1984,4,957
1985,1,934
1985,2,964
1985,3,941
1985,4,957
1986,1,950
1986,2,936
1986,3,913
1986,4,974
1987,1,955
1987,2,964
1987,3,916
1987,4,951
1988,1,999
1988,2,976
1988,3,973
1988,4,1025
1989,1,974
1989,2,988
1989,3,1027
1989,4,1044
1990,1,1024
1990,2,1003
1990,3,971
1990,4,1016
1991,1,1013
1991,2,1010
1991,3,1026
1991,4,1037
1992,1,1068
1992,2,1063
1992,3,1039
1992,4,1053
1993,1,1046
1993,2,1032
1993,3,1031
1993,4,1070
1994,1,1106
1994,2,1113
1994,3,1098
1994,4,1079
1995,1,1059
1995,2,1027
1995,3,971
1995,4,1003
1996,1,972
1996,2,973
1996,3,969
1996,4,978
1997,1,961
1997,2,953
1997,3,992
1997,4,1027
1998,1,1033
1998,2,1050
1998,3,1068
1998,4,1121
1999,1,1095
1999,2,1059
1999,3,1062
1999,4,1108
2000,1,1130
2000,2,1107
2000,3,1074
2000,4,1134
2001,1,1164
2001,2,1175
2001,3,1178
2001,4,1209
2002,1,1187
2002,2,1134
2002,3,1078
2002,4,1182
2003,1,1155
2003,2,1165
2003,3,1150
2003,4,1190
2004,1,1221
2004,2,1214
2004,3,1199
2004,4,1164
2005,1,1123
2005,2,1133
2005,3,1111
2005,4,1087
2006,1,1086
2006,2,1088
2006,3,1106
2006,4,1189
2007,1,1146
2007,2,1121
2007,3,1098
2007,4,1095
2008,1,1113
2008,2,1075
2008,3,1102
2008,4,1126
2009,1,1109
2009,2,1108
2009,3,1121
2009,4,1156
2010,1,1211
2010,2,1129
2010,3,1120
2010,4,1204
2011,1,1186
2011,2,1230
2011,3,1244
2011,4,1303
2012,1,1332
2012,2,1321
2012,3,1294
2012,4,1308
2013,1,1296
2013,2,1284
2013,3,1265
2013,4,1282
2014,1,1258
2014,2,1245
2014,3,1218
2014,4,1226
2015,1,1188
2015,2,1186
2015,3,1189
2015,4,1213
2016,1,1248
2016,2,1238
2016,3,1271
2016,4,1305
2017,1,1326
2017,2,1296
2017,3,1277
2017,4,1316
2018,1,1306
2018,2,1317
2018,3,1294
2018,4,1320
2019,1,1287
2019,2,1289
2019,3,1319
2019,4,1319
2020,1,1331
2020,2,1345
2020,3,1357
2020,4,1409
