"Year","Quarter","Expenditure"
1950,1,616
1950,2,1055
1950,3,1189
1950,4,724
1951,1,570
1951,2,1235
1951,3,942
1951,4,704
1952,1,476
1952,2,1185
1952,3,1542
1952,4,1096
1953,1,954
1953,2,1462
1953,3,1387
1953,4,1136
1954,1,1155
1954,2,1388
1954,3,1424
1954,4,1079
1955,1,975
1955,2,1408
1955,3,1378
1955,4,832
1956,1,718
1956,2,1428
1956,3,1325
1956,4,973
1957,1,1016
1957,2,1317
1957,3,1398
1957,4,979
1958,1,1056
1958,2,1313
1958,3,1528
1958,4,1477
1959,1,1190
1959,2,1486
1959,3,1698
1959,4,1067
1960,1,1087
1960,2,1309
1960,3,1593
1960,4,1250
1961,1,1043
1961,2,1993
1961,3,1949
1961,4,1499
1962,1,1486
1962,2,1948
1962,3,1986
1962,4,1601
1963,1,1587
1963,2,1762
1963,3,2007
1963,4,1455
1964,1,1339
1964,2,1670
1964,3,1582
1964,4,1066
1965,1,1038
1965,2,1723
1965,3,1681
1965,4,1370
1966,1,1385
1966,2,2208
1966,3,2238
1966,4,1687
1967,1,1837
1967,2,2226
1967,3,2293
1967,4,1883
1968,1,1911
1968,2,2513
1968,3,2447
1968,4,1921
1969,1,1670
1969,2,2026
1969,3,1960
1969,4,1806
1970,1,1849
1970,2,2584
1970,3,2608
1970,4,2279
1971,1,2251
1971,2,2529
1971,3,2813
1971,4,2162
1972,1,2284
1972,2,2727
1972,3,2602
1972,4,2163
1973,1,2239
1973,2,2577
1973,3,2514
1973,4,2235
1974,1,2172
1974,2,2741
1974,3,2655
1974,4,2213
1975,1,2272
1975,2,2793
1975,3,2772
1975,4,2546
1976,1,2632
1976,2,2970
1976,3,2921
1976,4,2542
1977,1,2392
1977,2,3058
1977,3,3029
1977,4,2637
1978,1,2631
1978,2,3102
1978,3,3263
1978,4,2791
1979,1,2927
1979,2,3578
1979,3,3174
1979,4,2925
1980,1,2863
1980,2,3513
1980,3,3537
1980,4,3016
1981,1,3059
1981,2,3565
1981,3,3609
1981,4,3089
1982,1,3018
1982,2,3501
1982,3,3302
1982,4,2931
1983,1,3005
1983,2,3602
1983,3,3888
1983,4,3188
1984,1,3242
1984,2,3487
1984,3,3382
1984,4,3143
1985,1,3303
1985,2,3483
1985,3,4024
1985,4,3603
1986,1,3733
1986,2,4019
1986,3,4292
1986,4,3742
1987,1,3684
1987,2,4232
1987,3,4232
1987,4,3840
1988,1,4137
1988,2,4777
1988,3,4548
1988,4,4593
1989,1,4251
1989,2,4941
1989,3,4757
1989,4,4216
1990,1,4170
1990,2,4656
1990,3,4670
1990,4,4495
1991,1,4655
1991,2,5110
1991,3,5283
1991,4,4678
1992,1,4800
1992,2,5342
1992,3,5369
1992,4,4776
1993,1,4550
1993,2,5368
1993,3,5451
1993,4,5233
1994,1,5212
1994,2,5832
1994,3,5861
1994,4,5405
1995,1,5580
1995,2,5981
1995,3,5990
1995,4,5382
1996,1,5291
1996,2,6038
1996,3,6263
1996,4,5942
1997,1,5913
1997,2,6409
1997,3,6546
1997,4,6253
1998,1,6445
1998,2,7028
1998,3,6891
1998,4,6786
1999,1,6498
1999,2,7128
1999,3,7209
1999,4,6800
2000,1,6985
2000,2,7645
2000,3,7500
2000,4,7215
2001,1,6903
2001,2,7433
2001,3,7441
2001,4,7143
2002,1,7192
2002,2,7966
2002,3,7829
2002,4,7297
2003,1,7534
2003,2,8060
2003,3,8320
2003,4,8211
2004,1,8257
2004,2,8796
2004,3,8591
2004,4,8424
2005,1,8588
2005,2,9034
2005,3,9205
2005,4,8877
2006,1,8730
2006,2,9720
2006,3,9729
2006,4,9126
2007,1,9001
2007,2,9542
2007,3,9850
2007,4,9339
2008,1,9335
2008,2,10207
2008,3,10040
2008,4,10070
2009,1,10509
2009,2,10894
2009,3,11046
2009,4,10700
2010,1,10837
2010,2,11466
2010,3,11678
2010,4,11420
2011,1,11170
2011,2,11403
2011,3,11765
2011,4,11153
2012,1,11280
2012,2,12067
2012,3,12045
2012,4,11886
2013,1,12321
2013,2,12736
2013,3,12660
2013,4,12454
2014,1,12406
2014,2,13135
2014,3,13320
2014,4,12995
2015,1,12885
2015,2,13494
2015,3,13243
2015,4,12915
2016,1,13137
2016,2,13788
2016,3,14188
2016,4,13850
2017,1,14005
2017,2,14496
2017,3,14436
2017,4,14276
2018,1,14350
2018,2,15016
2018,3,15575
2018,4,15059
2019,1,15427
2019,2,15816
2019,3,15980
2019,4,15958
2020,1,15955
2020,2,16493
2020,3,16694
2020,4,16643
