"Year","Quarter","Expenditure"
1950,1,1020
1950,2,735
1950,3,641
1950,4,608
1951,1,1060
1951,2,835
1951,3,705
1951,4,667
1952,1,1079
1952,2,759
1952,3,657
1952,4,726
1953,1,1225
1953,2,919
1953,3,818
1953,4,806
1954,1,1124
1954,2,923
1954,3,797
1954,4,825
1955,1,1119
1955,2,944
1955,3,745
1955,4,885
1956,1,1164
1956,2,941
1956,3,842
1956,4,850
1957,1,1296
1957,2,1020
1957,3,991
1957,4,960
1958,1,1297
1958,2,1055
1958,3,931
1958,4,985
1959,1,1378
1959,2,1143
1959,3,997
1959,4,1021
1960,1,1363
1960,2,1189
1960,3,1115
1960,4,1057
1961,1,1479
1961,2,1253
1961,3,1129
1961,4,1143
1962,1,1553
1962,2,1243
1962,3,1193
1962,4,1220
1963,1,1617
1963,2,1305
1963,3,1202
1963,4,1179
1964,1,1648
1964,2,1371
1964,3,1275
1964,4,1299
1965,1,1667
1965,2,1454
1965,3,1358
1965,4,1332
1966,1,1792
1966,2,1573
1966,3,1404
1966,4,1449
1967,1,1790
1967,2,1592
1967,3,1496
1967,4,1463
1968,1,1844
1968,2,1581
1968,3,1462
1968,4,1562
1969,1,2006
1969,2,1753
1969,3,1608
1969,4,1684
1970,1,1985
1970,2,1745
1970,3,1673
1970,4,1655
1971,1,2055
1971,2,1831
1971,3,1751
1971,4,1756
1972,1,2219
1972,2,1917
1972,3,1784
1972,4,1819
1973,1,2252
1973,2,2061
1973,3,1974
1973,4,2060
1974,1,2395
1974,2,2118
1974,3,2044
1974,4,2045
1975,1,2508
1975,2,2239
1975,3,2118
1975,4,2134
1976,1,2534
1976,2,2265
1976,3,2169
1976,4,2179
1977,1,2535
1977,2,2397
1977,3,2250
1977,4,2253
1978,1,2695
1978,2,2455
1978,3,2363
1978,4,2405
1979,1,2840
1979,2,2618
1979,3,2556
1979,4,2555
1980,1,2969
1980,2,2707
1980,3,2618
1980,4,2694
1981,1,3116
1981,2,2877
1981,3,2720
1981,4,2818
1982,1,3218
1982,2,2932
1982,3,2823
1982,4,2954
1983,1,3316
1983,2,3111
1983,3,2995
1983,4,3012
1984,1,3516
1984,2,3190
1984,3,3117
1984,4,3165
1985,1,3585
1985,2,3308
1985,3,3242
1985,4,3269
1986,1,3732
1986,2,3464
1986,3,3371
1986,4,3441
1987,1,3829
1987,2,3626
1987,3,3574
1987,4,3546
1988,1,4017
1988,2,3789
1988,3,3686
1988,4,3710
1989,1,4179
1989,2,3979
1989,3,3846
1989,4,3848
1990,1,4332
1990,2,4190
1990,3,4117
1990,4,4135
1991,1,4526
1991,2,4341
1991,3,4254
1991,4,4345
1992,1,4730
1992,2,4508
1992,3,4402
1992,4,4471
1993,1,4866
1993,2,4649
1993,3,4606
1993,4,4659
1994,1,5146
1994,2,4935
1994,3,4789
1994,4,4825
1995,1,5367
1995,2,5096
1995,3,5075
1995,4,5152
1996,1,5525
1996,2,5313
1996,3,5215
1996,4,5329
1997,1,5831
1997,2,5564
1997,3,5450
1997,4,5551
1998,1,5995
1998,2,5767
1998,3,5666
1998,4,5812
1999,1,6287
1999,2,6001
1999,3,6064
1999,4,6143
2000,1,6524
2000,2,6325
2000,3,6191
2000,4,6312
2001,1,6747
2001,2,6602
2001,3,6545
2001,4,6630
2002,1,7041
2002,2,6878
2002,3,6763
2002,4,6865
2003,1,7352
2003,2,7146
2003,3,7153
2003,4,7217
2004,1,7687
2004,2,7472
2004,3,7420
2004,4,7491
2005,1,7902
2005,2,7827
2005,3,7731
2005,4,7785
2006,1,8273
2006,2,8081
2006,3,8049
2006,4,8134
2007,1,8555
2007,2,8393
2007,3,8352
2007,4,8466
2008,1,8910
2008,2,8826
2008,3,8770
2008,4,8876
2009,1,9315
2009,2,9167
2009,3,9157
2009,4,9285
2010,1,9781
2010,2,9614
2010,3,9590
2010,4,9693
2011,1,10284
2011,2,10042
2011,3,10073
2011,4,10144
2012,1,10594
2012,2,10518
2012,3,10498
2012,4,10543
2013,1,11108
2013,2,10977
2013,3,10946
2013,4,11008
2014,1,11452
2014,2,11290
2014,3,11355
2014,4,11537
2015,1,12027
2015,2,11864
2015,3,11940
2015,4,12062
2016,1,12552
2016,2,12391
2016,3,12409
2016,4,12573
2017,1,13113
2017,2,12937
2017,3,13000
2017,4,13117
2018,1,13618
2018,2,13556
2018,3,13516
2018,4,13680
2019,1,14202
2019,2,14087
2019,3,14040
2019,4,14216
2020,1,14768
2020,2,14677
2020,3,14696
2020,4,14829
