"Year","Quarter","Expenditure"
1950,1,1015
1950,2,1119
1950,3,1104
1950,4,1110
1951,1,1103
1951,2,1156
1951,3,1108
1951,4,1148
1952,1,1112
1952,2,1135
1952,3,1036
1952,4,1168
1953,1,1104
1953,2,1185
1953,3,1060
1953,4,1178
1954,1,1148
1954,2,1194
1954,3,1080
1954,4,1194
1955,1,1163
1955,2,1206
1955,3,1100
1955,4,1189
1956,1,1119
1956,2,1225
1956,3,1130
1956,4,1189
1957,1,1132
1957,2,1191
1957,3,1090
1957,4,1205
1958,1,1144
1958,2,1223
1958,3,1107
1958,4,1209
1959,1,1114
1959,2,1207
1959,3,1102
1959,4,1252
1960,1,1162
1960,2,1256
1960,3,1198
1960,4,1234
1961,1,1184
1961,2,1233
1961,3,1174
1961,4,1258
1962,1,1238
1962,2,1244
1962,3,1198
1962,4,1267
1963,1,1211
1963,2,1292
1963,3,1191
1963,4,1265
1964,1,1200
1964,2,1295
1964,3,1164
1964,4,1303
1965,1,1221
1965,2,1277
1965,3,1202
1965,4,1257
1966,1,1187
1966,2,1265
1966,3,1174
1966,4,1256
1967,1,1252
1967,2,1317
1967,3,1178
1967,4,1334
1968,1,1242
1968,2,1358
1968,3,1215
1968,4,1270
1969,1,1245
1969,2,1332
1969,3,1216
1969,4,1251
1970,1,1294
1970,2,1281
1970,3,1211
1970,4,1322
1971,1,1284
1971,2,1366
1971,3,1270
1971,4,1321
1972,1,1326
1972,2,1349
1972,3,1288
1972,4,1333
1973,1,1251
1973,2,1321
1973,3,1246
1973,4,1306
1974,1,1276
1974,2,1362
1974,3,1256
1974,4,1369
1975,1,1335
1975,2,1373
1975,3,1274
1975,4,1322
1976,1,1301
1976,2,1365
1976,3,1252
1976,4,1334
1977,1,1319
1977,2,1392
1977,3,1282
1977,4,1348
1978,1,1320
1978,2,1407
1978,3,1263
1978,4,1360
1979,1,1273
1979,2,1434
1979,3,1291
1979,4,1440
1980,1,1376
1980,2,1425
1980,3,1351
1980,4,1383
1981,1,1335
1981,2,1411
1981,3,1286
1981,4,1435
1982,1,1339
1982,2,1446
1982,3,1328
1982,4,1384
1983,1,1297
1983,2,1506
1983,3,1349
1983,4,1449
1984,1,1466
1984,2,1436
1984,3,1342
1984,4,1422
1985,1,1387
1985,2,1441
1985,3,1306
1985,4,1425
1986,1,1351
1986,2,1429
1986,3,1321
1986,4,1397
1987,1,1389
1987,2,1452
1987,3,1352
1987,4,1470
1988,1,1351
1988,2,1467
1988,3,1383
1988,4,1485
1989,1,1398
1989,2,1474
1989,3,1399
1989,4,1457
1990,1,1384
1990,2,1415
1990,3,1316
1990,4,1429
1991,1,1383
1991,2,1446
1991,3,1385
1991,4,1449
1992,1,1439
1992,2,1525
1992,3,1384
1992,4,1463
1993,1,1420
1993,2,1538
1993,3,1395
1993,4,1490
1994,1,1395
1994,2,1489
1994,3,1399
1994,4,1476
1995,1,1401
1995,2,1475
1995,3,1432
1995,4,1474
1996,1,1383
1996,2,1510
1996,3,1428
1996,4,1466
1997,1,1430
1997,2,1485
1997,3,1416
1997,4,1509
1998,1,1455
1998,2,1488
1998,3,1404
1998,4,1478
1999,1,1413
1999,2,1527
1999,3,1415
1999,4,1459
2000,1,1403
2000,2,1517
2000,3,1442
2000,4,1537
2001,1,1506
2001,2,1574
2001,3,1435
2001,4,1500
2002,1,1473
2002,2,1510
2002,3,1451
2002,4,1454
2003,1,1411
2003,2,1524
2003,3,1458
2003,4,1530
2004,1,1428
2004,2,1474
2004,3,1436
2004,4,1494
2005,1,1481
2005,2,1579
2005,3,1528
2005,4,1574
2006,1,1513
2006,2,1533
2006,3,1419
2006,4,1581
2007,1,1503
2007,2,1550
2007,3,1430
2007,4,1479
2008,1,1462
2008,2,1510
2008,3,1404
2008,4,1510
2009,1,1506
2009,2,1528
2009,3,1470
2009,4,1561
2010,1,1447
2010,2,1532
2010,3,1468
2010,4,1619
2011,1,1501
2011,2,1545
2011,3,1486
2011,4,1515
2012,1,1514
2012,2,1590
2012,3,1488
2012,4,1542
2013,1,1466
2013,2,1591
2013,3,1514
2013,4,1529
2014,1,1463
2014,2,1607
2014,3,1508
2014,4,1592
2015,1,1509
2015,2,1612
2015,3,1517
2015,4,1568
2016,1,1552
2016,2,1614
2016,3,1509
2016,4,1583
2017,1,1489
2017,2,1581
2017,3,1502
2017,4,1604
2018,1,1539
2018,2,1610
2018,3,1522
2018,4,1601
2019,1,1506
2019,2,1558
2019,3,1533
2019,4,1608
2020,1,1507
2020,2,1653
2020,3,1487
2020,4,1552
