"Year","Quarter","Expenditure"
1950,1,694
1950,2,764
1950,3,726
1950,4,774
1951,1,705
1951,2,774
1951,3,734
1951,4,777
1952,1,713
1952,2,780
1952,3,741
1952,4,790
1953,1,723
1953,2,787
1953,3,737
1953,4,789
1954,1,720
1954,2,773
1954,3,734
1954,4,794
1955,1,730
1955,2,785
1955,3,747
1955,4,798
1956,1,728
1956,2,791
1956,3,757
1956,4,809
1957,1,741
1957,2,806
1957,3,767
1957,4,806
1958,1,739
1958,2,815
1958,3,770
1958,4,822
1959,1,746
1959,2,816
1959,3,767
1959,4,810
1960,1,733
1960,2,813
1960,3,777
1960,4,829
1961,1,747
1961,2,811
1961,3,758
1961,4,803
1962,1,740
1962,2,807
1962,3,757
1962,4,822
1963,1,756
1963,2,816
1963,3,769
1963,4,821
1964,1,753
1964,2,827
1964,3,786
1964,4,846
1965,1,785
1965,2,855
1965,3,803
1965,4,850
1966,1,780
1966,2,844
1966,3,802
1966,4,851
1967,1,774
1967,2,836
1967,3,784
1967,4,836
1968,1,764
1968,2,830
1968,3,793
1968,4,849
1969,1,788
1969,2,851
1969,3,807
1969,4,859
1970,1,782
1970,2,857
1970,3,815
1970,4,874
1971,1,804
1971,2,858
1971,3,824
1971,4,885
1972,1,816
1972,2,874
1972,3,835
1972,4,882
1973,1,811
1973,2,872
1973,3,830
1973,4,866
1974,1,803
1974,2,872
1974,3,837
1974,4,890
1975,1,816
1975,2,878
1975,3,836
1975,4,893
1976,1,827
1976,2,887
1976,3,837
1976,4,889
1977,1,826
1977,2,884
1977,3,838
1977,4,900
1978,1,824
1978,2,896
1978,3,852
1978,4,910
1979,1,839
1979,2,902
1979,3,851
1979,4,899
1980,1,823
1980,2,890
1980,3,853
1980,4,899
1981,1,825
1981,2,894
1981,3,857
1981,4,902
1982,1,834
1982,2,902
1982,3,858
1982,4,905
1983,1,835
1983,2,899
1983,3,852
1983,4,906
1984,1,846
1984,2,910
1984,3,869
1984,4,913
1985,1,850
1985,2,912
1985,3,867
1985,4,920
1986,1,847
1986,2,907
1986,3,869
1986,4,919
1987,1,846
1987,2,916
1987,3,870
1987,4,920
1988,1,842
1988,2,903
1988,3,855
1988,4,907
1989,1,843
1989,2,918
1989,3,879
1989,4,932
1990,1,863
1990,2,928
1990,3,891
1990,4,942
1991,1,873
1991,2,934
1991,3,893
1991,4,947
1992,1,882
1992,2,942
1992,3,894
1992,4,955
1993,1,883
1993,2,950
1993,3,895
1993,4,948
1994,1,881
1994,2,950
1994,3,898
1994,4,947
1995,1,874
1995,2,940
1995,3,908
1995,4,965
1996,1,890
1996,2,955
1996,3,920
1996,4,972
1997,1,903
1997,2,962
1997,3,916
1997,4,969
1998,1,907
1998,2,971
1998,3,912
1998,4,967
1999,1,898
1999,2,949
1999,3,898
1999,4,952
2000,1,887
2000,2,940
2000,3,904
2000,4,965
2001,1,900
2001,2,959
2001,3,910
2001,4,970
2002,1,902
2002,2,966
2002,3,919
2002,4,978
2003,1,903
2003,2,973
2003,3,925
2003,4,990
2004,1,916
2004,2,978
2004,3,936
2004,4,988
2005,1,922
2005,2,990
2005,3,948
2005,4,988
2006,1,913
2006,2,975
2006,3,920
2006,4,966
2007,1,911
2007,2,979
2007,3,946
2007,4,993
2008,1,912
2008,2,977
2008,3,928
2008,4,990
2009,1,914
2009,2,984
2009,3,939
2009,4,990
2010,1,913
2010,2,970
2010,3,929
2010,4,992
2011,1,922
2011,2,996
2011,3,960
2011,4,1002
2012,1,927
2012,2,986
2012,3,944
2012,4,1000
2013,1,947
2013,2,1000
2013,3,955
2013,4,989
2014,1,916
2014,2,980
2014,3,946
2014,4,998
2015,1,927
2015,2,995
2015,3,951
2015,4,988
2016,1,920
2016,2,987
2016,3,945
2016,4,992
2017,1,920
2017,2,982
2017,3,937
2017,4,990
2018,1,925
2018,2,989
2018,3,949
2018,4,996
2019,1,923
2019,2,993
2019,3,937
2019,4,992
2020,1,929
2020,2,993
2020,3,942
2020,4,978
