"Year","Quarter","Expenditure"
1950,1,395
1950,2,350
1950,3,348
1950,4,417
1951,1,427
1951,2,353
1951,3,328
1951,4,435
1952,1,411
1952,2,361
1952,3,386
1952,4,474
1953,1,455
1953,2,392
1953,3,373
1953,4,438
1954,1,383
1954,2,379
1954,3,399
1954,4,452
1955,1,448
1955,2,394
1955,3,410
1955,4,466
1956,1,466
1956,2,416
1956,3,425
1956,4,493
1957,1,462
1957,2,427
1957,3,404
1957,4,495
1958,1,482
1958,2,424
1958,3,459
1958,4,531
1959,1,519
1959,2,446
1959,3,443
1959,4,502
1960,1,488
1960,2,439
1960,3,462
1960,4,522
1961,1,493
1961,2,456
1961,3,450
1961,4,523
1962,1,507
1962,2,430
1962,3,474
1962,4,583
1963,1,563
1963,2,503
1963,3,494
1963,4,556
1964,1,530
1964,2,516
1964,3,512
1964,4,554
1965,1,549
1965,2,509
1965,3,537
1965,4,625
1966,1,608
1966,2,566
1966,3,563
1966,4,613
1967,1,582
1967,2,503
1967,3,537
1967,4,617
1968,1,609
1968,2,563
1968,3,579
1968,4,645
1969,1,625
1969,2,563
1969,3,570
1969,4,648
1970,1,648
1970,2,602
1970,3,601
1970,4,659
1971,1,641
1971,2,590
1971,3,638
1971,4,696
1972,1,678
1972,2,630
1972,3,624
1972,4,722
1973,1,701
1973,2,643
1973,3,656
1973,4,722
1974,1,717
1974,2,656
1974,3,679
1974,4,751
1975,1,752
1975,2,670
1975,3,666
1975,4,743
1976,1,737
1976,2,698
1976,3,736
1976,4,803
1977,1,801
1977,2,698
1977,3,734
1977,4,796
1978,1,740
1978,2,681
1978,3,719
1978,4,810
1979,1,793
1979,2,720
1979,3,763
1979,4,857
1980,1,833
1980,2,783
1980,3,813
1980,4,869
1981,1,841
1981,2,787
1981,3,784
1981,4,865
1982,1,855
1982,2,823
1982,3,830
1982,4,906
1983,1,889
1983,2,809
1983,3,851
1983,4,913
1984,1,910
1984,2,858
1984,3,876
1984,4,948
1985,1,929
1985,2,849
1985,3,893
1985,4,976
1986,1,970
1986,2,881
1986,3,918
1986,4,990
1987,1,984
1987,2,925
1987,3,929
1987,4,1011
1988,1,986
1988,2,932
1988,3,949
1988,4,1017
1989,1,993
1989,2,953
1989,3,993
1989,4,1073
1990,1,1079
1990,2,999
1990,3,1014
1990,4,1078
1991,1,1055
1991,2,1038
1991,3,1036
1991,4,1108
1992,1,1099
1992,2,1055
1992,3,1067
1992,4,1139
1993,1,1136
1993,2,1093
1993,3,1114
1993,4,1170
1994,1,1152
1994,2,1107
1994,3,1107
1994,4,1193
1995,1,1190
1995,2,1151
1995,3,1179
1995,4,1227
1996,1,1194
1996,2,1167
1996,3,1206
1996,4,1262
1997,1,1223
1997,2,1185
1997,3,1198
1997,4,1293
1998,1,1268
1998,2,1229
1998,3,1233
1998,4,1302
1999,1,1312
1999,2,1270
1999,3,1291
1999,4,1359
2000,1,1337
2000,2,1294
2000,3,1328
2000,4,1370
2001,1,1387
2001,2,1329
2001,3,1357
2001,4,1392
2002,1,1407
2002,2,1350
2002,3,1371
2002,4,1441
2003,1,1430
2003,2,1380
2003,3,1411
2003,4,1467
2004,1,1486
2004,2,1438
2004,3,1423
2004,4,1536
2005,1,1536
2005,2,1486
2005,3,1491
2005,4,1549
2006,1,1546
2006,2,1499
2006,3,1493
2006,4,1585
2007,1,1604
2007,2,1542
2007,3,1550
2007,4,1666
2008,1,1632
2008,2,1571
2008,3,1585
2008,4,1680
2009,1,1669
2009,2,1640
2009,3,1674
2009,4,1717
2010,1,1718
2010,2,1667
2010,3,1683
2010,4,1741
2011,1,1718
2011,2,1686
2011,3,1722
2011,4,1817
2012,1,1810
2012,2,1768
2012,3,1786
2012,4,1877
2013,1,1862
2013,2,1819
2013,3,1845
2013,4,1921
2014,1,1908
2014,2,1863
2014,3,1880
2014,4,1931
2015,1,1917
2015,2,1895
2015,3,1904
2015,4,2006
2016,1,2004
2016,2,1981
2016,3,2022
2016,4,2097
2017,1,2054
2017,2,2013
2017,3,2076
2017,4,2145
2018,1,2122
2018,2,2078
2018,3,2057
2018,4,2136
2019,1,2158
2019,2,2126
2019,3,2148
2019,4,2231
2020,1,2208
2020,2,2200
2020,3,2211
2020,4,2320
