"Year","Quarter","Expenditure"
1950,1,507
1950,2,460
1950,3,512
1950,4,462
1951,1,499
1951,2,509
1951,3,555
1951,4,465
1952,1,488
1952,2,496
1952,3,508
1952,4,449
1953,1,498
1953,2,500
1953,3,548
1953,4,494
1954,1,526
1954,2,523
1954,3,587
1954,4,517
1955,1,581
1955,2,568
1955,3,634
1955,4,568
1956,1,595
1956,2,561
1956,3,600
1956,4,564
1957,1,604
1957,2,577
1957,3,665
1957,4,613
1958,1,624
1958,2,615
1958,3,700
1958,4,647
1959,1,634
1959,2,597
1959,3,644
1959,4,591
1960,1,572
1960,2,569
1960,3,629
1960,4,571
1961,1,559
1961,2,540
1961,3,626
1961,4,599
1962,1,612
1962,2,600
1962,3,663
1962,4,621
1963,1,606
1963,2,613
1963,3,695
1963,4,632
1964,1,642
1964,2,648
1964,3,732
1964,4,712
1965,1,700
1965,2,691
1965,3,721
1965,4,654
1966,1,645
1966,2,637
1966,3,718
1966,4,640
1967,1,651
1967,2,615
1967,3,709
1967,4,669
1968,1,695
1968,2,709
1968,3,758
1968,4,692
1969,1,716
1969,2,680
1969,3,786
1969,4,752
1970,1,745
1970,2,711
1970,3,722
1970,4,654
1971,1,686
1971,2,650
1971,3,714
1971,4,704
1972,1,732
1972,2,718
1972,3,791
1972,4,733
1973,1,746
1973,2,715
1973,3,750
1973,4,706
1974,1,738
1974,2,694
1974,3,747
1974,4,678
1975,1,676
1975,2,665
1975,3,719
1975,4,664
1976,1,691
1976,2,695
1976,3,775
1976,4,746
1977,1,771
1977,2,724
1977,3,805
1977,4,755
1978,1,737
1978,2,719
1978,3,787
1978,4,724
1979,1,751
1979,2,739
1979,3,807
1979,4,757
1980,1,792
1980,2,780
1980,3,801
1980,4,733
1981,1,765
1981,2,737
1981,3,868
1981,4,834
1982,1,856
1982,2,834
1982,3,909
1982,4,851
1983,1,844
1983,2,794
1983,3,861
1983,4,807
1984,1,830
1984,2,830
1984,3,881
1984,4,794
1985,1,853
1985,2,826
1985,3,886
1985,4,864
1986,1,861
1986,2,832
1986,3,891
1986,4,832
1987,1,856
1987,2,829
1987,3,895
1987,4,852
1988,1,860
1988,2,846
1988,3,906
1988,4,839
1989,1,858
1989,2,887
1989,3,937
1989,4,878
1990,1,907
1990,2,907
1990,3,960
1990,4,880
1991,1,869
1991,2,851
1991,3,916
1991,4,862
1992,1,873
1992,2,840
1992,3,891
1992,4,842
1993,1,826
1993,2,795
1993,3,842
1993,4,812
1994,1,837
1994,2,821
1994,3,889
1994,4,824
1995,1,851
1995,2,834
1995,3,897
1995,4,858
1996,1,879
1996,2,879
1996,3,946
1996,4,894
1997,1,916
1997,2,883
1997,3,955
1997,4,920
1998,1,923
1998,2,912
1998,3,958
1998,4,906
1999,1,893
1999,2,912
1999,3,957
1999,4,913
2000,1,938
2000,2,919
2000,3,985
2000,4,934
2001,1,968
2001,2,964
2001,3,996
2001,4,919
2002,1,971
2002,2,948
2002,3,989
2002,4,946
2003,1,959
2003,2,944
2003,3,1027
2003,4,962
2004,1,950
2004,2,995
2004,3,1065
2004,4,992
2005,1,1021
2005,2,994
2005,3,1042
2005,4,1002
2006,1,1023
2006,2,990
2006,3,1030
2006,4,952
2007,1,966
2007,2,946
2007,3,1002
2007,4,942
2008,1,966
2008,2,962
2008,3,1021
2008,4,954
2009,1,977
2009,2,974
2009,3,1009
2009,4,953
2010,1,980
2010,2,990
2010,3,1021
2010,4,976
2011,1,985
2011,2,941
2011,3,1010
2011,4,978
2012,1,984
2012,2,966
2012,3,1021
2012,4,997
2013,1,1025
2013,2,996
2013,3,1069
2013,4,1003
2014,1,1018
2014,2,1042
2014,3,1099
2014,4,1025
2015,1,1030
2015,2,1026
2015,3,1080
2015,4,1015
2016,1,1030
2016,2,1001
2016,3,1026
2016,4,976
2017,1,1015
2017,2,1008
2017,3,1073
2017,4,994
2018,1,1007
2018,2,975
2018,3,1033
2018,4,966
2019,1,996
2019,2,956
2019,3,1003
2019,4,962
2020,1,978
2020,2,983
2020,3,1041
2020,4,999
