"Year","Quarter","Expenditure"
1950,1,850
1950,2,866
1950,3,876
1950,4,852
1951,1,857
1951,2,858
1951,3,861
1951,4,844
1952,1,860
1952,2,861
1952,3,874
1952,4,847
1953,1,858
1953,2,864
1953,3,863
1953,4,848
1954,1,844
1954,2,865
1954,3,862
1954,4,858
1955,1,871
1955,2,881
1955,3,884
1955,4,876
1956,1,864
1956,2,876
1956,3,871
1956,4,863
1957,1,881
1957,2,880
1957,3,901
1957,4,880
1958,1,877
1958,2,885
1958,3,871
1958,4,860
1959,1,876
1959,2,879
1959,3,888
1959,4,868
1960,1,892
1960,2,890
1960,3,884
1960,4,872
1961,1,875
1961,2,886
1961,3,905
1961,4,887
1962,1,882
1962,2,897
1962,3,900
1962,4,893
1963,1,883
1963,2,889
1963,3,882
1963,4,884
1964,1,901
1964,2,904
1964,3,901
1964,4,899
1965,1,897
1965,2,897
1965,3,900
1965,4,890
1966,1,887
1966,2,888
1966,3,895
1966,4,893
1967,1,903
1967,2,903
1967,3,901
1967,4,884
1968,1,901
1968,2,905
1968,3,898
1968,4,896
1969,1,888
1969,2,900
1969,3,914
1969,4,919
1970,1,912
1970,2,920
1970,3,922
1970,4,902
1971,1,929
1971,2,927
1971,3,921
1971,4,912
1972,1,934
1972,2,936
1972,3,939
1972,4,926
1973,1,933
1973,2,941
1973,3,935
1973,4,928
1974,1,933
1974,2,930
1974,3,921
1974,4,917
1975,1,936
1975,2,940
1975,3,937
1975,4,929
1976,1,934
1976,2,931
1976,3,927
1976,4,916
1977,1,927
1977,2,928
1977,3,939
1977,4,929
1978,1,941
1978,2,952
1978,3,937
1978,4,943
1979,1,953
1979,2,938
1979,3,936
1979,4,927
1980,1,932
1980,2,948
1980,3,945
1980,4,942
1981,1,955
1981,2,952
1981,3,956
1981,4,931
1982,1,940
1982,2,941
1982,3,926
1982,4,937
1983,1,945
1983,2,953
1983,3,955
1983,4,935
1984,1,953
1984,2,952
1984,3,965
1984,4,961
1985,1,947
1985,2,968
1985,3,967
1985,4,949
1986,1,957
1986,2,980
1986,3,980
1986,4,957
1987,1,959
1987,2,968
1987,3,961
1987,4,947
1988,1,967
1988,2,973
1988,3,984
1988,4,971
1989,1,963
1989,2,957
1989,3,957
1989,4,934
1990,1,943
1990,2,947
1990,3,962
1990,4,962
1991,1,971
1991,2,962
1991,3,967
1991,4,962
1992,1,967
1992,2,979
1992,3,966
1992,4,951
1993,1,963
1993,2,968
1993,3,976
1993,4,973
1994,1,987
1994,2,972
1994,3,991
1994,4,985
1995,1,987
1995,2,984
1995,3,970
1995,4,972
1996,1,979
1996,2,973
1996,3,980
1996,4,971
1997,1,963
1997,2,965
1997,3,963
1997,4,958
1998,1,977
1998,2,981
1998,3,972
1998,4,947
1999,1,952
1999,2,985
1999,3,1000
1999,4,988
2000,1,1004
2000,2,984
2000,3,987
2000,4,975
2001,1,983
2001,2,1009
2001,3,1002
2001,4,976
2002,1,983
2002,2,990
2002,3,989
2002,4,988
2003,1,981
2003,2,970
2003,3,984
2003,4,976
2004,1,990
2004,2,1003
2004,3,979
2004,4,980
2005,1,970
2005,2,1000
2005,3,1002
2005,4,1002
2006,1,1010
2006,2,990
2006,3,988
2006,4,980
2007,1,983
2007,2,984
2007,3,982
2007,4,967
2008,1,986
2008,2,1003
2008,3,991
2008,4,981
2009,1,981
2009,2,994
2009,3,994
2009,4,986
2010,1,992
2010,2,1012
2010,3,999
2010,4,993
2011,1,994
2011,2,1013
2011,3,1014
2011,4,971
2012,1,977
2012,2,991
2012,3,1001
2012,4,975
2013,1,984
2013,2,999
2013,3,981
2013,4,975
2014,1,988
2014,2,990
2014,3,1003
2014,4,991
2015,1,1000
2015,2,1005
2015,3,1006
2015,4,994
2016,1,982
2016,2,992
2016,3,990
2016,4,979
2017,1,982
2017,2,998
2017,3,995
2017,4,984
2018,1,991
2018,2,1023
2018,3,1003
2018,4,985
2019,1,987
2019,2,984
2019,3,992
2019,4,987
2020,1,970
2020,2,994
2020,3,1017
2020,4,1011
