"Year","Quarter","Expenditure"
1950,1,539
1950,2,530
1950,3,608
1950,4,486
1951,1,579
1951,2,592
1951,3,617
1951,4,472
1952,1,562
1952,2,667
1952,3,652
1952,4,463
1953,1,628
1953,2,668
1953,3,704
1953,4,536
1954,1,587
1954,2,596
1954,3,698
1954,4,554
1955,1,710
1955,2,718
1955,3,737
1955,4,604
1956,1,660
1956,2,742
1956,3,769
1956,4,606
1957,1,687
1957,2,738
1957,3,744
1957,4,576
1958,1,746
1958,2,756
1958,3,726
1958,4,681
1959,1,695
1959,2,772
1959,3,821
1959,4,631
1960,1,760
1960,2,873
1960,3,869
1960,4,677
1961,1,796
1961,2,819
1961,3,873
1961,4,704
1962,1,802
1962,2,916
1962,3,926
1962,4,767
1963,1,857
1963,2,876
1963,3,850
1963,4,767
1964,1,898
1964,2,933
1964,3,941
1964,4,796
1965,1,954
1965,2,943
1965,3,1003
1965,4,835
1966,1,1015
1966,2,938
1966,3,973
1966,4,836
1967,1,950
1967,2,1025
1967,3,1000
1967,4,916
1968,1,1002
1968,2,1099
1968,3,1099
1968,4,1058
1969,1,1082
1969,2,1053
1969,3,1102
1969,4,1028
1970,1,1086
1970,2,1146
1970,3,1175
1970,4,1011
1971,1,1141
1971,2,1158
1971,3,1267
1971,4,1066
1972,1,1183
1972,2,1239
1972,3,1228
1972,4,1071
1973,1,1168
1973,2,1209
1973,3,1265
1973,4,1099
1974,1,1206
1974,2,1262
1974,3,1319
1974,4,1179
1975,1,1309
1975,2,1323
1975,3,1381
1975,4,1230
1976,1,1324
1976,2,1374
1976,3,1452
1976,4,1272
1977,1,1421
1977,2,1472
1977,3,1474
1977,4,1345
1978,1,1468
1978,2,1492
1978,3,1527
1978,4,1328
1979,1,1456
1979,2,1470
1979,3,1509
1979,4,1356
1980,1,1514
1980,2,1605
1980,3,1605
1980,4,1477
1981,1,1542
1981,2,1619
1981,3,1646
1981,4,1560
1982,1,1594
1982,2,1678
1982,3,1701
1982,4,1602
1983,1,1776
1983,2,1734
1983,3,1746
1983,4,1669
1984,1,1754
1984,2,1799
1984,3,1887
1984,4,1724
1985,1,1788
1985,2,1885
1985,3,1924
1985,4,1698
1986,1,1808
1986,2,1930
1986,3,1961
1986,4,1869
1987,1,1915
1987,2,1977
1987,3,2006
1987,4,1916
1988,1,2009
1988,2,2056
1988,3,2085
1988,4,2030
1989,1,2121
1989,2,2096
1989,3,2116
1989,4,2061
1990,1,2086
1990,2,2123
1990,3,2239
1990,4,2080
1991,1,2178
1991,2,2268
1991,3,2290
1991,4,2192
1992,1,2304
1992,2,2341
1992,3,2403
1992,4,2238
1993,1,2339
1993,2,2383
1993,3,2482
1993,4,2266
1994,1,2378
1994,2,2488
1994,3,2516
1994,4,2372
1995,1,2557
1995,2,2615
1995,3,2618
1995,4,2543
1996,1,2627
1996,2,2726
1996,3,2702
1996,4,2521
1997,1,2698
1997,2,2805
1997,3,2865
1997,4,2663
1998,1,2776
1998,2,2838
1998,3,2872
1998,4,2816
1999,1,2917
1999,2,2972
1999,3,3005
1999,4,2894
2000,1,2987
2000,2,3039
2000,3,3065
2000,4,2936
2001,1,3070
2001,2,3106
2001,3,3200
2001,4,3094
2002,1,3252
2002,2,3293
2002,3,3415
2002,4,3189
2003,1,3350
2003,2,3392
2003,3,3396
2003,4,3361
2004,1,3548
2004,2,3573
2004,3,3605
2004,4,3441
2005,1,3564
2005,2,3627
2005,3,3705
2005,4,3590
2006,1,3640
2006,2,3748
2006,3,3807
2006,4,3728
2007,1,3820
2007,2,3833
2007,3,3816
2007,4,3720
2008,1,3879
2008,2,4008
2008,3,4059
2008,4,3920
2009,1,4044
2009,2,4081
2009,3,4137
2009,4,4092
2010,1,4235
2010,2,4250
2010,3,4300
2010,4,4167
2011,1,4328
2011,2,4421
2011,3,4497
2011,4,4323
2012,1,4466
2012,2,4580
2012,3,4628
2012,4,4477
2013,1,4643
2013,2,4699
2013,3,4841
2013,4,4700
2014,1,4817
2014,2,4943
2014,3,4994
2014,4,4828
2015,1,4968
2015,2,5103
2015,3,5107
2015,4,5007
2016,1,5143
2016,2,5193
2016,3,5265
2016,4,5194
2017,1,5344
2017,2,5413
2017,3,5495
2017,4,5388
2018,1,5475
2018,2,5604
2018,3,5600
2018,4,5480
2019,1,5655
2019,2,5754
2019,3,5851
2019,4,5803
2020,1,5922
2020,2,6030
2020,3,6020
2020,4,5972
