"Year","Quarter","Expenditure"
1950,1,691
1950,2,712
1950,3,739
1950,4,737
1951,1,699
1951,2,737
1951,3,758
1951,4,734
1952,1,739
1952,2,797
1952,3,807
1952,4,767
1953,1,767
1953,2,795
1953,3,817
1953,4,760
1954,1,747
1954,2,762
1954,3,802
1954,4,758
1955,1,721
1955,2,758
1955,3,835
1955,4,812
1956,1,774
1956,2,770
1956,3,755
1956,4,781
1957,1,736
1957,2,781
1957,3,794
1957,4,802
1958,1,789
1958,2,775
1958,3,825
1958,4,790
1959,1,796
1959,2,815
1959,3,834
1959,4,825
1960,1,773
1960,2,786
1960,3,835
1960,4,814
1961,1,747
1961,2,823
1961,3,841
1961,4,863
1962,1,807
1962,2,845
1962,3,843
1962,4,858
1963,1,819
1963,2,837
1963,3,905
1963,4,842
1964,1,816
1964,2,850
1964,3,881
1964,4,932
1965,1,842
1965,2,826
1965,3,889
1965,4,875
1966,1,837
1966,2,881
1966,3,1012
1966,4,927
1967,1,912
1967,2,887
1967,3,915
1967,4,950
1968,1,886
1968,2,908
1968,3,940
1968,4,901
1969,1,866
1969,2,937
1969,3,975
1969,4,968
1970,1,915
1970,2,920
1970,3,981
1970,4,931
1971,1,886
1971,2,973
1971,3,1021
1971,4,993
1972,1,921
1972,2,938
1972,3,957
1972,4,971
1973,1,943
1973,2,960
1973,3,1000
1973,4,961
1974,1,933
1974,2,973
1974,3,980
1974,4,984
1975,1,956
1975,2,940
1975,3,1006
1975,4,998
1976,1,1010
1976,2,973
1976,3,1021
1976,4,1005
1977,1,985
1977,2,1021
1977,3,1051
1977,4,996
1978,1,968
1978,2,986
1978,3,1086
1978,4,1040
1979,1,1038
1979,2,1058
1979,3,1096
1979,4,1051
1980,1,1011
1980,2,1053
1980,3,1047
1980,4,1058
1981,1,1025
1981,2,1028
1981,3,1097
1981,4,1086
1982,1,1016
1982,2,1029
1982,3,1060
1982,4,1056
1983,1,1021
1983,2,1019
1983,3,1090
1983,4,1046
1984,1,993
1984,2,1048
1984,3,1120
1984,4,1152
1985,1,1120
1985,2,1116
1985,3,1139
1985,4,1080
1986,1,1096
1986,2,1057
1986,3,1179
1986,4,1128
1987,1,1104
1987,2,1136
1987,3,1218
1987,4,1144
1988,1,1110
1988,2,1126
1988,3,1183
1988,4,1142
1989,1,1146
1989,2,1180
1989,3,1223
1989,4,1187
1990,1,1131
1990,2,1186
1990,3,1214
1990,4,1185
1991,1,1146
1991,2,1165
1991,3,1207
1991,4,1155
1992,1,1155
1992,2,1215
1992,3,1214
1992,4,1231
1993,1,1182
1993,2,1197
1993,3,1279
1993,4,1250
1994,1,1216
1994,2,1256
1994,3,1327
1994,4,1250
1995,1,1208
1995,2,1262
1995,3,1264
1995,4,1290
1996,1,1247
1996,2,1230
1996,3,1315
1996,4,1303
1997,1,1271
1997,2,1259
1997,3,1283
1997,4,1226
1998,1,1237
1998,2,1244
1998,3,1290
1998,4,1278
1999,1,1254
1999,2,1239
1999,3,1338
1999,4,1329
2000,1,1286
2000,2,1311
2000,3,1330
2000,4,1300
2001,1,1296
2001,2,1340
2001,3,1358
2001,4,1321
2002,1,1297
2002,2,1359
2002,3,1379
2002,4,1383
2003,1,1328
2003,2,1348
2003,3,1400
2003,4,1392
2004,1,1336
2004,2,1410
2004,3,1415
2004,4,1403
2005,1,1383
2005,2,1398
2005,3,1427
2005,4,1346
2006,1,1360
2006,2,1414
2006,3,1468
2006,4,1387
2007,1,1348
2007,2,1394
2007,3,1455
2007,4,1485
2008,1,1430
2008,2,1442
2008,3,1494
2008,4,1458
2009,1,1420
2009,2,1477
2009,3,1502
2009,4,1440
2010,1,1463
2010,2,1510
2010,3,1494
2010,4,1477
2011,1,1438
2011,2,1472
2011,3,1529
2011,4,1517
2012,1,1485
2012,2,1529
2012,3,1550
2012,4,1522
2013,1,1493
2013,2,1538
2013,3,1559
2013,4,1527
2014,1,1565
2014,2,1609
2014,3,1606
2014,4,1577
2015,1,1533
2015,2,1537
2015,3,1605
2015,4,1555
2016,1,1513
2016,2,1579
2016,3,1605
2016,4,1549
2017,1,1603
2017,2,1615
2017,3,1651
2017,4,1661
2018,1,1627
2018,2,1609
2018,3,1708
2018,4,1644
2019,1,1609
2019,2,1614
2019,3,1640
2019,4,1670
2020,1,1636
2020,2,1650
2020,3,1698
2020,4,1666
